Short Name,Default Species,Default Gender,Heart Color,Short Backstory,Teams,Alias,Full Name,Birth Place,Birth Day,Default LV,Default Height/Length (Cm),Default Weight/Mass (Kg),Aura Color,Hidden Type,Favorite Items
Den,Diglett,TODO,Standard,"Den is the third Pokémon rescued by Ganden. He is carried away by [SKARMORY] who blames him and his father for causing earthquakes; prompting the team to fight it. Den is one of the few Pokemon who vouches for Eve and Adam when they become fugitives. Later, Den and his father moved to Treasure Town and joined the Pukurin Guild, inspired by Ganden's success. Den helps out with Sentry Duty, working alongside [DUGTRIO].",Pukurin,Sea Scavenger,Deniz Biddulph,Air Continent,TODO,TODO,TODO,TODO,Smart Marine Blue,Psychic,TODO
Dennis,Dedenne ,TODO,Standard,TODO,Highwind,TODO,Dionysios Fotia,Water Continent,TODO,TODO,TODO,TODO,Brilliant Green,Dark,TODO
Des,Ditto,Unknown,Shiny,"Des is the former guardian of the Limestone Cavern Time Gear. They transform into other Pokémon to convince exploration teams to stay away from the cave. They transformed into a Bellossom to tell Team Charm that trying to find the treasure was hopeless; then later into Sentret to convince them that they needed to get revenge on Team A.W.D.. Once they reached the final chamber of Limestone Cavern; Des transformed into an empty treasure chest to cause Team Charm and Team A.W.D. to fight each other so that neither would discover the Time Gear. Puck stopped the fight continuing after Team Charm knocked out Team A.W.D., and forced Des to reveal themselves. Des apologized for its deception, revealing that it was actually Bellossom and Sentret, then showed them the Time Gear. Years later, he personally delivered the Time Gear to Lucas once he learned that keeping it inside the Limestone Cavern was actually causing irreversible damage to the Temporal Tower, and would have ultimately been the actual cause of the World Paralysis. Alongside the other Time Gear guardians, he now lives in the Hidden Land.",N/A,TODO,Desharimunikai,Grass Continent,1977-11-11,66,???,???,Clear Aqua Blue,Bug,TODO
Diane,Virizion,Female,Iridescent,"A lone warrior that arrived in Post Town, everyone fawning over her. She is known for rejecting any advances (friendship or love); which includes the latest from Don, until she discovers that her latest rejection actually caused Don to get in trouble with the Pawniard Brothers. She opens up and battles the Pawniard alongside Tengoku and the others, after which she is recruited into the team. It is later revealed by Kosuke that Lewis went to the Great Glacier and sent a Frism to her, saying that he really wanted to get away from her. This caused Diane to not want to associate with anyone; thinking that everyone would betray her. However; as more and more becomes known about Lewis's whereabouts; Diane begins to leave behind her cold self for the warm; friendly Virizion that she once was. Eventually she discovers the reason Lewis left that hurtful Frism is because he didn't want Diane to follow him.",Tengoku,TODO,Dianeme Escudo,Mist Continent,TODO,146,196,196,Brilliant Green,Ghost,TODO
Digeir,Roserade,Male,Standard,"Digeir was one of Puck's childhood friends along with Sayi and Jerome. When Puck left, he married Dirun and formed Team Raider with Tun and Rand.",Raider,Royal Flower Spear,Oddigeir Blumenthal,Grass Continent,TODO,TODO,TODO,TODO,Vivid Pink,Steel,TODO
Dior,Milotic,Female,Iridescent,TODO,N/A,TODO,Dorothy,Air Continent,TODO,50,60 ~ 606,6 ~ 161,Mystic Purple,Flying,TODO
Dirun,Roselia,Female,Standard,TODO,Raider,Royal Flower Rune,Oddirun Blumenthal,Grass Continent,TODO,TODO,TODO,TODO,TODO,TODO,TODO
Divar,Budew,Female,Standard,TODO,Raider,Royal Flower Prince,Oddivar Blumenthal,Water Continent,TODO,TODO,TODO,TODO,TODO,TODO,TODO
Don,Dunsparce ,Male,Standard,"A Pokémon who dreams of becoming a first-rate adventurer and helping Pokémon in need. Initially introduced as a very shy guy and Julian's best friend; he's revealed to have taken a liking to Diane like everyone else in the town. He tries to get Diane's attention by presenting her with a gift; but gets rejected. He gets tricked by the Pawniard Brothers into going to Desolate Canyon with them and Dai, Tony, Julian and the others join him in battle against the Pawniards. He reconciles with Diane and gets automatically recruited into the team together with Julian. As Dunsparce finds and takes more and more opportunities for adventure with the player and partner Pokémon; his dreams begin to become more realistic in his eyes; and he feels he can have hope without regrets.",Tengoku,TODO,Donald Millward,Mist Continent,TODO,TODO,TODO,TODO,Clear Aqua Blue,Rock,TODO
Dora,Banette,Female,Shiny,"Dora and Orion spent their childhood teaming up and bullying other children to get what they want. They especially enjoyed bullying Puck, who for some reason gladly listened to their demands. They often convinced him to give them all the Gummies his parents would give him to share around, and ended up eating most of them. They later convinced Puck to go explore Murky Forest with them. When Aldwin revealed himself at the end of the dungeon, they fled, leaving Puck behind. Later they were part of the party that went to apprehend Aldwin. Fearing she might get arrested like Aldwin, she rethinks her life and uses a Devolve Orb to become a Shuppet again and start over. She quickly met [MURKROW] and formed Team Ebony. They usually want to get treasure, but always disagree on which one they want, [MURKROW] wanting shiny things and Dora wanting valuable things. Because of this, they rarely got any treasure at all. Due to choosing different paths, Dora and Orion also became rivals. Team A.W.D. lately has been outperforming Team Ebony, which motivated both to evolve again, and even caused her heart to become Shiny. Dora even started researching Megaevolution, with limited success due to not having a Human in her team to keep her from going berserk.",Ebony,Gift Of The Underworld,Theodora Moralez,Grass Continent,TODO,93,TODO,TODO,Refreshing Green,Normal,TODO
Duccio,Ducklett,Male,Standard,"Swanun's son. Little is known about him. He rarely comes out of Swanun's inn since he absentmindedly bumps into people often, and gets in trouble for it.",Fresh,TODO,Duccio Acquati,Mist Continent,TODO,TODO,TODO,TODO,Cool Sky Blue,Grass,TODO
Ebony,Wigglytuff,Male,Iridescent,"When Ebony and Ivory got married, their heart turned shiny. They eventually bought a house west of Murky Forest and had a kid named Puck. One day, Ebony went mountain climbing with his son, Puck. When they were climbing down the mountain; Ebony was almost crushed by a falling boulder; but Puck crushed it in an instant, which made Ebony wonder if his son had massive untapped potential. Ivory and Ebony were pleased when Puck told them he had made a new friend—Aldwin—not realizing he was an outlaw. When Paris informed them that Puck was traveling with an outlaw through Fortune Ravine, they accompanied him to apprehend Aldwin and save Puck. Inspired by Puck becoming a world class Explorer and Guildmaster, his heart became Iridescent, and he now owns a business selling Friend Areas in Square Town.",Origin,The Father Of All Things Bad,Ebony Pomeroy,Air Continent,TODO,TODO,TODO,TODO,Smart Marine Blue,Flying,TODO
Edan,Goodra,Female,Iridescent,"The battle medic of Solstice Academy. She is scary quick at stopping fights between students, and also provides instant heals when Sheng teaches the students how to battle. This provides a safe environment where everyone can experiment strategies they usually can't afford to try in dangerous Mystery Dungeons, and master the most effective ones.",N/A,TODO,Eadaoin Bourne,Dragon Continent,TODO,40,28 ~ 83 ~ 199,2 ~ 16 ~ 147,Vivid Pink,Fairy,TODO
Eddy,Cobalion ,Male,Iridescent,"Former leader of the Swords Of Justice, before Lewis became worthy. Unfortunately, Team Swords Of Justice didn't last long, as it quickly disbanded once Lewis disappeared and Diane became disillusioned and convinced that friendship was not real. When Diane joined Tengoku and found Lewis again, he decided to train, and reappeared years after in Noe Town. One thing lead to another, and Eddy convinced Rocco to join Team Tengoku alongside Diane and Lewis.","Tengoku, Swords Of Justice",TODO,Edward Escudo,Mist Continent,TODO,146,246,257,Brilliant Green,Ghost,TODO
Egha,Victreebel,Male,Standard,"Egha was born in Square Town. Usually hanging around by the Pelipper Post Office next to the notice board, or in Square Town's, uh, town square. He's often been isolated and didn't know much about the world around him, so he seemed secretly interested in lores and legends despite pretending that he doesn't believe them, often sneaking around to listen to them. Eventually he would notice that more and more lores and legends became real, and in fact, many of them not only started visiting the very town he lived in more often, such as Team ACT, Team Hydro, or [HO-OH], but even new ones would start to form, like Team Ganden. Tales are always based on reality, even if only partially. He decides he also wanted to become a legend, but unfortunately, the result of this was Team Flame, a team with Egha as the leader, and [CAMERUPT] and [PONYTA] as the partners. Ouch. 🔥",Flame,TODO,Eghard,Air Continent,TODO,TODO,TODO,TODO,Gentle Mint Green,Dragon,TODO
Eimi,Arbok,Male,Standard,"Used to be the brawn of Giuda's Team Meanies. Their goal was to reach world domination by manipulating other teams. After being defeated by Team Ganden, they planned to use Square Town against Eve and Adam to get rid of them. This only allowed Team Ganden to skyrocket in strength, ranking, and popularity once they not only returned from Mount Freeze unscathed, but proved that Eve was not the human in the Ninetales legend. This gave Team Meanies a harsh reality check, and they focused on dominating the world not by manipulating others, but by becoming superior themselves, with feats such as getting through Wish Cave, or defeating Eve and Adam on their own. Later, when Giuda and Eve saved Hildegarde, and Giuda revealed to everyone he was the selfish human in the Ninetales legend, the team ultimately disbanded. Pauline embraced her good side and joined Team Charm to help out the now amnesiac Hildegarde, while Eimi embraced his evil side and joined Team AWD to make something good out of his thieving skills. This caused the two teams to become rivals.","A.W.D., Meanies",TODO,Eimichidna Gujic,Air Continent,TODO,175,177 ~ 333,6 ~ 64,Clear Aqua Blue,Ground,TODO
Eleri,Meganium,Female,Standard,Eleri lives in Gardenbeach Village. She REALLY likes Evolving and Devolving. Nobody knows why. What a goober.,N/A,TODO,Eleriin Moloney,Sand Continent,TODO,143,121 ~ 160 ~ 207,8 ~ 17 ~ 83,Vivid Pink,Ice,TODO
Elise,Articuno,Female,Standard,"Unlike the other legendary birds, Elise has been having trouble guarding Mount Freeze, since it also required guarding Frosty Forest at the same time. She met Anto, who volunteered to help. One day, Elise attacks Eve and Adam when they reach the end of Frosty Forest, accusing them of causing the forest's usually frigid cold air to warm up. Even after being narrowly defeated, she almost gets up again, but Anto steps in to inform her that Adam's accounts of similar disasters occurring all over is true. Elise eventually believes Anto, and allows the team to continue on.",N/A,TODO,Elisabeth,Air Continent,TODO,TODO,TODO,TODO,Cool Sky Blue,Poison,TODO
Ella,Musharna,Female,Standard,"Ella, along with Eres; first appears in Dai's dream prior to coming to the Pokémon world. Dai believes they must rescue Ella from Eres, but later discovers that Ella works for Zanku; and is in fact out to destroy Dai. After she and her friends are defeated by Dai and Tami, she continues to persist; saying that it would be better for everything to simply end. Tami eventually reminds Ella that even though she wants to end the world, she still tried to make friends to accomplish this goal, and she doesn't want them gone. She decides to cheer Dai and Tami on during the final battle with the Bittercold. She has since reformed her gang into Team Warmspice, but even though she's the leader, she's rarely seen around, probably out of sheer guilt for what she's done.",Warmspice,Lady Ella,Eleanor Hilink Arbiter,Mist Continent,TODO,147,54 ~ 107,21 ~ 60,Stunning Orange,Fire,TODO
Elto,Brionne,Unknown,Iridescent,"Joined the Solstice Academy back when he was a Popplio, initially just to admire Cefca, but lately his ''admiration'' caused him to develop... identity troubles. He saved up money and purchased a Gender Capsule, and became a girl! ...then a few months later she did it again. ...then he did it again. ...then she did it again. Despite how expensive it is, how much work it requires, and how much trouble it causes him, he seems happier now?",N/A,TODO,Elton Armada,Dragon Continent,TODO,66,45 ~ 63 ~ 199,9 ~ 19 ~ 50,Stunning Orange,Poison,TODO
Epsi,Eeveon,Unknown,Standard,You feel like you want to cry. You feel like you want to smile.,N/A,"The Dragon Summoner, The Power Of Pokemon, ε",Epsilon,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO
Eres,Hydreigon,Male,Iridescent,"Eres is the physical embodiment of the Voice of Life and is the one who summoned Dai into the Mist Continent. He is originally thought to be the villain due to a vision Dai receives of Ella being chased by Eres before entering the Pokémon world; but he saves Dai from being destroyed by Ella's gang and later explains his intentions of bringing the player into the Pokémon world in order to destroy the Bittercold. He is defeated by Zanku; but later returns to escort the player back to the human world. He decides to join Team Tengoku to keep Tami company and help look for a way to bring Dai back, travelling with Tami all the way through Worldcore to assist. In all; he is a very polite and silly Pokémon. He can often be found at Swanun's, eating ravenously.",Tengoku,"The Mist Summoner, The Voice Of Life",Ereshkigall,Mist Continent,TODO,170,89 ~ 140 ~ 202,16 ~ 44 ~ 153,Stately Silver,Bug,TODO
Erma,Garbodor,Male,Standard,"A resident of Post Town. After it was announced that there was a suspicious Pokémon hanging around the town; he hangs out at the crossroads. He refuses to enter Post Town; afraid that the townspeople would suspect it was him. After Kosuke is revealed; he returns to the town. He ends most sentences with ""trubb-trubb"", or ''garb-garb"" after evolving.",N/A,TODO,Ermani,Mist Continent,TODO,TODO,TODO,TODO,Refreshing Green,Ground,TODO
Ermin,Manectric,Male,Standard,"The alpha of a feral tribe of Manectric and Electrike living deep in Amp Plains. His tribe was always at war with a Shinx tribe, until Vega and Lyra recruited the entire tribe out of nowhere, gave them education, freedom, and even scarves? The same Vega and Lyra that defeated him when looking for a Water Float? And Sirius, his archrival, became a world class Explorer? Unacceptable. His new resolve to defeat Sirius turned his heart Shiny, and he became more ferocious than ever. He unlocked Megaevolution, but since he cannot have a human in his tribe, he often goes Berserk from instability.",N/A,TODO,Erminigild,Grass Continent,TODO,TODO,TODO,TODO,Uplifting Pink,Fire,TODO
Euni,Purugly,Female,Standard,She's first seen teamed up with Todd chasing Ai and Kosuke in search of the Entercards. When Kosuke makes it safely to Post Town; they catch Ai and search her but don't find the Entercards; due to Ai hiding them with [SWADLOON]. They are then defeated by Dai and Tami. It is later revealed that they work with Ella; Zanku; and the Bittercold. Like Ella; they also change their minds about the world's destruction and cheer on Dai and Tami during the final battle.,Warmspice,TODO,Eunice Cheshire,Mist Continent,TODO,TODO,TODO,TODO,Refreshing Green,Normal,TODO
Eve,Delcatty,Female,Iridescent,"As a human, Eve had depression, a problem that she tried to dismiss and hide because of how common it was among other humans where she lived. When Hildegarde summoned her, she asked her to reset her memory so it wouldn't cause problems. On 2005-11-17, at 14 years old, Eve was found passed out in Tiny Woods by Adam and formed Rescue Team Ganden with him, obtaining his Normal Type house he accidentally obtained on his birthday and using it as her base. Ever since, her loyalty towards him was unbreakable, to the point she decided to protect him from the entirety of Square Town when she was exiled. She followed him and protected him across the entire continent just so the two could meet Ninetales and prove that she was innocent. Since then, they dedicated their lives repairing the damaged relationship between the isolated Legendaries and Mythicals, and the ordinary Pokemon civilizations. After Adam started becoming more and more distant, and she started regaining her memory, her fear of abandonment by the only person that believed in her caused her heart to turn Shiny. Her heart then became Iridescent when she convinced Adam to live with her. Adam and Eve married at midday in 2009-01-01. ||| Having experienced first hand how common depression can be as a human, and how easily it can be healed with a loving partner, Eve developed immense empathy and wisdom. Especially as she got older and more experienced with Adam's rescue team work, she developed a love for helping out Pokemon. While Adam focused on helping as many Pokemon as possible, she used her wealth and expertise on the ones who need help the most, especially children who needed someone to kickstart their dream, or Legendaries and Mythicals who became disillusioned with ordinary Pokemon. Although she can pacify large Pokemon with her terrifying status effects and stratagems, her body isn't that strong, and she dislikes wasting time on excessive training. This is why this **Commander** becomes terrifying when she can count on someone ridiculously fast and powerful like Adam to deliver a devastating final blow in her strategy.",Ganden,Divine Woman,Evelyn Ganden,United Kingdom; Liverpool,1991-05-11,255,56 ~ 101,11 ~ 29,Stately Silver,Fairy,TODO
Ferdi,Farfetch'd,TODO,Standard,"Ferdi is a literature teacher at the Serene Village school. His ""literature"" amounts to nursery rhymes that cause the students to fall asleep. He gets kidnapped by [SOLOSIS] and the Litwick while patrolling the school at night. Wow, what a huuuge wimp, heh. What? N-no, I'm not a Pancham!! Why would the great Simeon even WANT have access to the Nexus description entries, he's way too cool for that!! Buzz off!!",N/A,TODO,Ferdinand Germund,Sand Continent,TODO,TODO,TODO,TODO,Stately Silver,Dark,TODO
Fergus,Turtwig,Male,Standard,TODO,N/A,TODO,Ferguson Lockhart,TODO,TODO,80,37 ~ 145 ~ 365,10 ~ 130 ~ 522,Smart Marine Blue,Steel,TODO
Fiamme,Vulpix ,Male,Standard,TODO,N/A,TODO,Fiammetta,Fire Continent,TODO,115,66 ~ 143,10 ~ 24,Subdued Brown,Ice,TODO
Fili,Pawniard,Male,Standard,"They scam [DUNSPARCE] with a deal of getting stronger to get Diane to be his friend. Once he realized this they started to attack him, but Dai and Tami appeared, and it becomes 3 on 2 until they call their goons and it becomes 6 on 3, then Diane, then Julian, then Tony... The ''reinforcements'' piled up until it became a very inefficient furball. The Pawniard Brothers lose and flee... they kept ''losing and fleeing'' ever since.",Pawniard Brothers,TODO,Filiberto Brose,Mist Continent,TODO,TODO,TODO,TODO,Refreshing Green,Psychic,TODO
Fio,Braixen,Female,Iridescent,TODO,Unity,TODO,Fiore Forner,TODO,1998-08-09,122,39 ~ 88 ~ 147 ~ 148,9 ~ 16 ~ 40 ~ 41,Uplifting Pink,Water,TODO
Frank,Aggron,Male,Standard,"Frank lived in Gardenbeach Village. His rival is Hank, while he seems to be good friends with Ingri. Team Advent's sudden rise convinced him to train and unlock his Megaevolution. He often uses Ingri and [SPINDA]'s drink expertise to grow stronger quicker. He eventually did master Megaevolution, but often gets in trouble due to going Berserk from not having a human nearby to stabilize him, so he often has to get rescued by Team Advent. From time to time he helps apprehending criminals and delivering their sentences with the retribution system.",N/A,TODO,Franklin Mercer,Sand Continent,TODO,76,41 ~ 93 ~ 222 ~ 241,64 ~ 128 ~ 512 ~ 633,Elegant Violet,Ghost,TODO
Frey,Sylveon,Female,Iridescent,TODO,N/A,TODO,Freya Strand,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO
Fukura,Meowstic,Female,Iridescent,"Fukura is a student at the Serene Village School. She is orphan, but hard-working; mature; intelligent; and observant. She seems to be afraid of nothing, and absolutely loves Ghost types despite her own typing. Fukura is described by Simeon and Thancrat as being one of the few students at the school who actually possesses natural talent. She does not speak much unless spoken to; and is typically quiet. She later assists Akira, Team Excalibur, and the Expedition Society in defeating Dark Matter. She finds Selene very annoying when she does her beaming pose, but overall admires Excalibur and humans, just like Naomie. She recently evolved to keep up with Gory.",Sunny,TODO,Fukurashi Masahiro,Water Continent,TODO,TODO,32 ~ 64,2 ~ 8,Vivid Pink,Ghost,TODO
Gab,Oranguru,TODO,Shiny,"Will, Gab, and Gav, manage together Explorer Express, a railway that goes through the entirety of Dragon Continent. Will was caught by Lovrina while she was Shadow Type, but was saved by Team Unity, Gab, and Gav. They now pay Team Unity to sponsor the Explorer Express whenever they can.",N/A,TODO,Gabriel Oursler,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO
Garol,Dusknoir,Male,Iridescent,"Garland was Primal [DIALGA]'s henchman from the Future Of Darkness. He was sent back in time to pursue Lucas, a Grovyle, and Vega a Human, and stop them from restoring time, which would cause everyone from the Future Of Darkness to disappear. In the present, he successfully pretended to be a lone, teamless Explorer who had exceptional wisdom. He arrives in Treasure Town and the Pukurin Guild, where he finds out Vega was turned into a Riolu and lost all memory. He decides to trick Vega, Lyra, and the rest of Grass Continent to apprehend Lucas for stealing the Time Gears. After Lucas is caught and sent back to the future, he pulls Vega with him to execute him alongside Lucas, and Lyra as well to avoid her from ruining their plans. Somehow, Lucas, Vega and Lyra escape execution. Initially furious, he realizes he can follow them so he can catch Claus and prevent them from using the Passage Of Time. When the trap works, he smugly reveals to Lucas that the Riolu next to him was Vega all along. This unfortunately enrages Vega, and ESPECIALLY Lyra, who instantly comes up with a plan to allow Claus to teleport the three near the Passage Of Time, allowing them to escape. Garland, knowing they will eventually reach the Rainbow Stoneship on the Hidden Land, asks Primal [DIALGA] to travel them there so he can intercept them, but Lucas sacrifices himself to drag Garland with him to the Future Of Darkness and allow Vega and Lyra to restore Temporal Tower. Garland wakes up shortly before Lucas and devises a plan with one of the Sableye: He instructs the Sableye to take Claus to Icicle Forest, then 'betray' him under the appearance of Primal [DIALGA] having ordered his replacement after his defeat at the Hidden Land, then manipulate events so that Lucas will be caught in an electric field at the end of the Icicle Forest with the help of the same Spiritomb that attacked Lucas before, causing Lucas's spirit to melt away and allow Garlandto possess his empty body, travel to the past again, and defeat Vega and Lyra. Unfortunately, while teaming up with Lucas, he made a mistake: He asks Lucas why he's willing to sacrifice his life to change the past. Lucas explains that he believes it better to live a short life with glory and accomplishment than a long, empty life, noting that he would one day depart from life even if the past isn't changed and thus the length of his life should be less important than the deeds done in his life. He also adds that if he were to do something big (like stopping the planet's paralysis), even if he were to disappear, his actions would be remembered, and so he wouldn't truly disappear. This caused immense internal conflict in Garland, so much so that when Lucas does get caught in the trap, and out of nowhere he begs Garland to remember what his heart truly wants, he becomes distressed and saves Lucas at the last second, which enraged Primal [DIALGA]. They almost were all defeated, until at the very last second Vega and Lyra clicked the last Time Gear in place in the past, and time slowly resumed flowing. Primal [DIALGA], afraid of disappearing, went on a frenzy and fled to Vast Ice Mountain to go back to the past and defeat Vega and Lyra, but was ultimately defeated by Claus, Lucas, and Garland before he could. Garland asks Lucas one final question as they vanish: whether this sacrifice is worth his life. With Lucas's assurance that it is, he finally feels content for the first time in his life and vanishes with no regrets. Later, Garland wakes up at the top of Vast Ice Mountain again, and finds out from [DIALGA] that [ARCEUS] stopped this timeline from disappearing and allowed it to keep existing. It takes a while for him to get used to a world where the sun rises every 24 hours, but once he does, he realizes this only became possible by trusting none other than his own worst enemies. This restores an immense amount of trust in Garland's heart, which caused him to join the Planetary Investigation Team, and his heart to become Shiny.",Planetary Investigation,TODO,Garland Dimitri,Grass Continent,TODO,195,81 ~ 169 ~ 258,14 ~ 29 ~ 77,Stunning Orange,Fighting,TODO
Gary,Scrafty,Male,Standard,"An Outlaw that worked with Tony to scam Dai and Tami out of gems. While Gary doubled down and got apprehended, Tony was eventually convinced by Dai and Tami to resume his profession as a carpenter. Gary spent... an undefined amount of time being ''punished'' by Jerome, and now works in Paradise as a Move Linker, Move tutor, etc.",N/A,TODO,Garibald Alexis,Mist Continent,TODO,60,52 ~ 126,12 ~ 35,Refreshing Green,Rock,TODO
Gasto,Weezing,TODO,Shiny,TODO,Skull,TODO,Gastone Wallace,Grass Continent,TODO,TODO,TODO,TODO,Vivid Pink,Ghost,TODO
Gav,Passimian,Male,Shiny,"Will, Gab, and Gav, manage together Explorer Express, a railway that goes through the entirety of Dragon Continent. Will was caught by Lovrina while she was Shadow Type, but was saved by Team Unity, Gab, and Gav. They now pay Team Unity to sponsor the Explorer Express whenever they can.",N/A,TODO,Gavriel Oursler,TODO,TODO,TODO,TODO,TODO,TODO,TODO,TODO
Gismo,Excadrill,Male,Standard,"Used to be one of [GABITE]'s workers in the Drillbur Coal Mine. [GABITE] eventually gave Gismo his freedom after getting embarrassed by Cooper and Selene. Now he has evolved and he's simply wandering around aimlessly to figure out what he wants to do, although he seems to be popular with girls for some reason...",N/A,TODO,Giselmund Seuss,Water Continent,TODO,60,31 ~ 76,9 ~ 44,Uplifting Pink,Grass,TODO
Giuda,Gengar,Male,Iridescent,"Giuda was a human that became Hildegarde's trainer. One day Giuda climbed up to Mount Freeze, and touched Inari's tails, which angered her and made her charge a horrible curse. Hilda shielded Giuda, but he decided to abandon Hilda out of fear. His memory is fuzzy after that, only remembering that one day he woke up as a Gengar. He accepts this new evil self, and when Giuda encounters Pauline and Eimi, he decides to form the very creatively named Rescue Team Meanies to ""dominate the world"". As the leader of Meanies, he often antagonized Eve and Adam, stealing their mail, taking their missions, and threatening their friends to join Team Meanies if they complete a job before Team Ganden does. Unfortunately, they had little success. But Giuda then discovered by eavesdropping on Eve, Adam, and [XATU] that Eve might be a human, so he ends up successfully convincing Square Town that Eve is the human that betrayed Inari. This causes everyone, including Team A.C.T. who already had suspicions, to hunt down Eve and Adam while Giuda, Pauline, and Eimi enjoy loafing around in Square Town. Right as the town starts being suspicious of Giuda not hunting down Eve and Adam, they return and bring proof from Inari and [PELIPPER] that Eve is innocent, causing the town to chase once again, but this time with Team Meanies as the target. He started heavily resenting Eve and Adam, occasionally entering the town again to discourage them from dangerous missions, only to remain speechless at their apparent immunity to fear. He was convinced all humans have evil deep within them, and if Eve was so fearless, it must be because of a dark secret she has, so one night he uses Dream Eater while she's sleeping, only to find out that Hildegarde became the Agent Of Spirits and summoned Eve as a human meant to defeat a calamity about to his the continent. He also finds out Hildegarde never forgot about Giuda, nor does she hate him, even though he was the cause of her current state. Heartbroken by this, Giuda decided to help Eve behind the scenes, by helping Alder and [XATU] create the Teleport Gem, then saving Eve and Adam from becoming spirits after the Great Meteor's explosion, while still pretending to be a villain. Following this he hanged out with Pauline and Eimi less often, trying to climb Mount Freeze to reach Inari, but to no avail. He reached the painful conclusion that he must ask a very pissed off Eve's help to reach it. At the peak, he threatens Inari to release Hildegarde from the curse, but finds out that the only way was to take a 9-Tail Crest to Murky Cave, where he might be able to unseal Hildegarde. Once again, he is forced to ask Eve's help to reach the depths of Murky Cave, where he places the Crest into a dais. They are greeted by a mysterious, apparently formless being known only as the ""judge of darkness"", who immobilizes Giuda and asks Eve to answer the questions in Giuda's stead, since Giuda would never reveal his true feelings. Despite Eve's best efforts to paint Giuda's true feelings in a good light, the judge declares the curse unliftable. Desperate, Giuda breaks the seal and begs for a chance to say his piece, admitting he abandoned Hildegarde to save himself, living his life without a care, but after discovering Hildegarde deemed him irreplaceable, and Eve brought him to this point, despite everything he did, he broke into tears and found what he had been missing all along was a sense of gratitude. This finally broke the curse and restored Hildegarde. The judge told Giuda she won't have any memories, which Giuda accepts as punishment, simply stating that her being safe was enough for him. Giuda says goodbye to Hildegarde and Eve one last time, giving his Mobile Scarf to the latter, before disbanding Team Meanies for good. Nobody knows where he is right now.",Meanies,TODO,Yehudah Zero,TODO,TODO,TODO,TODO,TODO,Stately Silver,Electric,TODO
Gold,Cofagrigus,Male,Standard,"Runs the Glorious Gold shop in Post Town; buying gold bars in return for money or items. He doesn't sell gold bars; as he appears to be quite fond of them. He refers to gold bars as ""sparklies"". He often laughs maniacally.",N/A,TODO,Goldie Goldberg,Mist Continent,TODO,TODO,TODO,TODO,Uplifting Pink,Bug,TODO
Gordon,Arcanine,Male,Iridescent,"Gordon is an Arcanine who seems to be in charge of Battle Town in Fire Continent, despite actually not living there. Very little is known about him or his whereabouts, other than the fact everyone obeys everything he says out of fear, including certain people who live outside of Fire Continent.",N/A,TODO,Gordon Leonhardt,TODO,TODO,TODO,TODO,TODO,Deep Green,TODO,TODO
Gory,Goodra,Male,Iridescent,"Gory is the leader of Team Sunny. Of all the Serene Village students; he is the youngest; and used to be rather cowardly. Despite that; he was able to summon his courage when challenged or made fun of; showing he disliked being underestimated; and is determined to show his value. After Dark Matter was defeated, Cooper noticed he seemed to be a parallel to Selene, as Gory lacks confidence in himself. This convinced Cooper to train the Serene Village school. Gory evolved into a Goodra and became the leader of Team Sunny.",Sunny,TODO,Gregory Apollion,Water Continent,TODO,40,33 ~ 82 ~ 241,3 ~ 19 ~ 196,Cool Sky Blue,Ground,TODO
Gretel,Marill,Female,Standard,"Gretel is Hansel's bigger sister. When Gretel; Hansel; and Herman go to Mt. Bristle; Gretel is left behind. Later; Gretel and Hansel tell Vega and Lyra about the water float in Amp Plains. She used the water float to cure Aenor, her mother, from an unknown illness.",Tidal,TODO,Gretel Marida,Grass Continent,TODO,TODO,TODO,TODO,Fiery Red,Electric,TODO
Gunda,Crustle,Male,Shiny,"Used to be a Dwebble that hanged around Post Town in search for the perfect rock to live in. He eventually used a giant boulder to Evolve into a Crustle, and turned his heart Shiny. Easy to please...",N/A,TODO,Gundisalvus Gehring,Mist Continent,TODO,TODO,TODO,TODO,Fiery Red,Water,TODO
Gwen,Furret,Female,Standard,She stroll.,N/A,TODO,Gwenda Stroll,Mist Continent,TODO,33,76 ~ 194,6 ~ 31,Brilliant Green,Flying,TODO
Habi,Jirachi,Male,Shiny,"Jirachi is found at the end of Wish Cave; and will offer to join the player's team once defeated. If the player has a Wish Stone and declines Jirachi's offer to join; it will grant the player a wish; such as lots of money; a free Friend Area; or the recruitment of a random non-legendary Pokémon. Jirachi is an astronomer in the Expedition Society. Born in Star Cave; he spends his time observing the patterns of the stars. When he falls asleep; he is not easily woken up, although Evelyn's singing seems to cause the opposite effect...",Highwind,TODO,Shihabi Narke,Air Continent,TODO,190,31,2,Cool Sky Blue,Grass,TODO
