ID,EVOID,Pokemon,Class,Rarity,Starter,First Type,Second Type,Egg Group 1,Egg Group 2,First Ability,Second Ability,Hidden Ability,HP,AT,DF,SA,SD,SP,TT,Weight (kg),Weight (lbs),Height (cm),Height (ft in),Shape,♂/♀ Ratio,Growth,Base Connection,Spawn Modifier,Apricorn Chance,Experience,Days To Hatch
101,100,Electrode,Ball Pokémon,Common,No,Electric,,Mineral,,Soundproof,Static,Aftermath,60,50,70,80,80,150,490,67,147,119,"3'11""",Ball,,Fast,60,-26,60,172,20
102,,Exeggcute,Egg Pokémon,Common,No,Grass,Psychic,Grass,,Chlorophyll,Vital Spirit,Harvest,60,40,80,60,45,40,325,2,6,41,"1'04""",Heads,0.5,Very Slow,50,25,90,65,20
103,102,Exeggutor,Coconut Pokémon,Common,No,Grass,Psychic,Grass,,Chlorophyll,Vital Spirit,Harvest,95,95,85,125,75,55,530,120,265,201,"6'07""",Legs,0.5,Very Slow,40,-30,45,186,20
103A,102,Exeggutor (Alola Form),Coconut Pokémon,Common,No,Grass,Dragon,Grass,,Frisk,Chlorophyll,Harvest,95,105,85,125,75,45,530,416,916,1090,"35'09""",Legs,0.5,Very Slow,40,-30,45,186,20
104,,Cubone,Lonely Pokémon,Uncommon,Special,Ground,,Monster,,Rock Head,Lightning Rod,Battle Armor,50,50,95,40,50,35,320,6,14,41,"1'04""",Upright,0.5,Fast,50,48,190,64,20
105,104,Marowak,Bone Keeper Pokémon,Uncommon,No,Ground,,Monster,,Rock Head,Lightning Rod,Battle Armor,60,80,110,50,80,45,425,45,99,99,"3'03""",Upright,0.5,Fast,40,-25,75,149,20
105A,104,Marowak (Alola Form),Bone Keeper Pokémon,Uncommon,No,Fire,Ghost,Monster,,Cursed Body,Lightning Rod,Rock Head,60,80,110,50,80,45,425,34,75,99,"3'03""",Upright,0.5,Fast,40,-25,75,149,20
106,236,Hitmonlee,Kicking Pokémon,Common,No,Fighting,,Human-Like,,Limber,Reckless,Unburden,50,120,53,35,110,87,455,50,110,150,"4'11""",Humanoid,1,Fast,40,-30,45,159,25
107,236,Hitmonchan,Punching Pokémon,Common,No,Fighting,,Human-Like,,Keen Eye,Iron Fist,Inner Focus,50,105,79,35,110,76,455,50,111,140,"4'07""",Humanoid,1,Fast,40,-30,45,159,25
108,,Lickitung,Licking Pokémon,Common,No,Normal,,Monster,,Own Tempo,Oblivious,Cloud Nine,90,55,75,60,75,30,385,65,144,119,"3'11""",Upright,0.5,Fast,50,-10,45,77,20
109,,Koffing,Poison Gas Pokémon,Common,No,Poison,,Amorphous,,Levitate,Aftermath,Stall,40,65,95,60,45,35,340,1,2,61,"2'00""",Ball,0.5,Fast,50,48,190,68,20
110,109,Weezing,Poison Gas Pokémon,Common,No,Poison,,Amorphous,,Levitate,Aftermath,Stall,65,90,120,85,70,60,490,9,21,119,"3'11""",Heads,0.5,Fast,40,-26,60,172,20
111,,Rhyhorn,Spikes Pokémon,Common,No,Ground,Rock,Monster,Field,Lightning Rod,Rock Head,Reckless,80,85,95,30,30,25,345,115,254,99,"3'03""",Quadruped,0.5,Very Slow,50,35,120,69,20
112,111,Rhydon,Drill Pokémon,Common,No,Ground,Rock,Monster,Field,Lightning Rod,Rock Head,Reckless,105,130,120,45,45,40,485,120,265,191,"6'03""",Upright,0.5,Very Slow,40,-26,60,170,20
113,440,Chansey,Egg Pokémon,Common,No,Normal,,Fairy,,Natural Cure,Serene Grace,Healer,250,5,5,35,105,50,450,35,76,109,"3'07""",Upright,0,Very Fast,100,-33,30,395,40
114,,Tangela,Vine Pokémon,Common,No,Grass,,Grass,,Chlorophyll,Leaf Guard,Regenerator,65,55,115,100,40,60,435,35,77,99,"3'03""",Legs,0.5,Fast,50,-10,45,87,20
115,,Kangaskhan,Parent Pokémon,Common,No,Normal,,Monster,,Early Bird,Scrappy,Inner Focus,105,95,80,40,80,90,490,80,176,221,"7'03""",Upright,0,Fast,50,-10,45,172,20
115M,115,Kangaskhan (Mega Kangaskhan),Parent Pokémon,Common,No,Normal,,Monster,,Parental Bond,Scrappy,Inner Focus,105,125,100,60,100,100,590,100,221,221,"7'03""",Upright,0,Fast,50,-10,45,172,20
116,,Horsea,Dragon Pokémon,Common,No,Water,,Water 1,Dragon,Swift Swim,Sniper,Damp,30,40,70,70,25,60,295,8,18,41,"1'04""",Blob,0.5,Fast,50,63,225,59,20
117,116,Seadra,Dragon Pokémon,Common,No,Water,,Water 1,Dragon,Poison Point,Sniper,Damp,55,65,95,95,45,85,440,25,55,119,"3'11""",Blob,0.5,Fast,40,-25,75,154,20
118,,Goldeen,Goldfish Pokémon,Common,No,Water,,Water 2,,Swift Swim,Sniper,Damp,45,67,60,35,50,63,320,15,33,61,"2'00""",Fish,0.5,Fast,50,63,225,64,20
119,118,Seaking,Goldfish Pokémon,Common,No,Water,,Water 2,,Swift Swim,Water Veil,Lightning Rod,80,92,65,65,80,68,450,39,86,130,"4'03""",Fish,0.5,Fast,40,-26,60,158,20
120,,Staryu,Star Shape Pokémon,Common,No,Water,,Water 3,,Illuminate,Natural Cure,Analytic,30,45,55,70,55,85,340,35,76,79,"2'07""",Blob,,Very Slow,50,63,225,68,20
121,120,Starmie,Mysterious Pokémon,Common,No,Water,Psychic,Water 3,,Illuminate,Natural Cure,Analytic,60,75,85,100,85,115,520,80,176,109,"3'07""",Blob,,Very Slow,40,-26,60,182,20
122,439,Mr. Mime,Barrier Pokémon,Common,No,Psychic,Fairy,Human-Like,,Soundproof,Filter,Technician,40,45,65,100,120,90,460,54,120,130,"4'03""",Humanoid,0.5,Fast,40,-30,45,161,25
123,,Scyther,Mantis Pokémon,Common,No,Bug,Flying,Bug,,Swarm,Technician,Steadfast,70,110,80,55,80,105,500,56,124,150,"4'11""",Bug,0.5,Fast,50,-10,45,100,25
124,238,Jynx,Human Shape Pokémon,Common,No,Ice,Psychic,Human-Like,,Oblivious,Forewarn,Dry Skin,65,50,35,115,95,95,455,41,90,140,"4'07""",Humanoid,0,Fast,40,-30,45,159,25
125,239,Electabuzz,Electric Pokémon,Uncommon,No,Electric,,Human-Like,,Static,Moxie,Vital Spirit,65,83,57,95,85,105,490,30,66,109,"3'07""",Upright,0.75,Fast,40,-30,45,172,25
126,240,Magmar,Spitfire Pokémon,Uncommon,No,Fire,,Human-Like,,Flame Body,Moxie,Vital Spirit,65,95,57,100,85,93,495,44,98,130,"4'03""",Upright,0.75,Fast,40,-30,45,173,25
127,,Pinsir,Stag Beetle Pokémon,Common,No,Bug,,Bug,,Hyper Cutter,Mold Breaker,Moxie,65,125,100,55,70,85,500,55,121,150,"4'11""",Humanoid,0.5,Very Slow,50,-10,45,175,25
127M,127,Pinsir (Mega Pinsir),Stag Beetle Pokémon,Common,No,Bug,,Bug,,Aerilate,Mold Breaker,Moxie,65,155,120,65,90,105,600,59,130,170,"5'07""",Humanoid,0.5,Very Slow,50,-10,45,175,25
128,,Tauros,Wild Bull Pokémon,Common,No,Normal,,Field,,Intimidate,Anger Point,Sheer Force,75,100,95,40,70,110,490,88,195,140,"4'07""",Quadruped,1,Very Slow,50,-10,45,172,20
129,,Magikarp,Fish Pokémon,Common,No,Water,,Water 2,Dragon,Swift Swim,Defeatist,Rattled,20,10,55,15,20,80,200,10,22,89,"2'11""",Fish,0.5,Very Slow,50,70,255,40,5
130,129,Gyarados,Atrocious Pokémon,Common,No,Water,Flying,Water 2,Dragon,Intimidate,Berserk,Moxie,95,125,79,60,100,81,540,235,518,650,"21'04""",Squiggle,0.5,Very Slow,40,-30,45,189,5
130M,130,Gyarados (Mega Gyarados),Atrocious Pokémon,Common,No,Water,Flying,Water 2,Dragon,Mold Breaker,Berserk,Moxie,95,155,109,70,130,81,640,305,672,650,"21'04""",Squiggle,0.5,Very Slow,40,-30,45,189,5
131,,Lapras,Transport Pokémon,Rare,No,Water,Ice,Monster,Water 1,Water Absorb,Shell Armor,Hydration,130,85,80,85,95,60,535,220,485,249,"8'02""",Fish,0.5,Very Slow,50,-10,45,187,40
132,,Ditto,Transform Pokémon,Rare,No,Normal,,Ditto,,Imposter,Imposter,Imposter,48,48,48,48,48,48,288,4,9,30,"1'00""",Ball,,Fast,50,-13,35,101,20
133,,Eevee,Evolution Pokémon,Rare,Special,Normal,,Field,,Run Away,Adaptability,Anticipation,55,55,50,45,65,55,325,6,14,30,"1'00""",Quadruped,0.875,Fast,50,19,45,65,35
134,133,Vaporeon,Bubble Jet Pokémon,Rare,No,Water,,Field,,Water Absorb,Adaptability,Hydration,130,65,60,110,95,65,525,29,64,99,"3'03""",Quadruped,0.875,Fast,40,-30,45,184,35
135,133,Jolteon,Lightning Pokémon,Rare,No,Electric,,Field,,Volt Absorb,Adaptability,Quick Feet,65,65,60,110,95,130,525,24,54,79,"2'07""",Quadruped,0.875,Fast,40,-30,45,184,35
136,133,Flareon,Flame Pokémon,Rare,No,Fire,,Field,,Flash Fire,Adaptability,Guts,65,130,60,95,110,65,525,25,55,89,"2'11""",Quadruped,0.875,Fast,40,-30,45,184,35
137,,Porygon,Virtual Pokémon,Uncommon,No,Normal,,Mineral,,Trace,Download,Analytic,65,60,70,85,75,40,395,37,81,79,"2'07""",Legs,0.875,Fast,50,-10,45,79,20
138,,Omanyte,Spiral Pokémon,Common,No,Rock,Water,Water 1,Water 3,Swift Swim,Shell Armor,Weak Armor,35,40,100,90,55,35,355,7,17,41,"1'04""",Tentacles,0.875,Fast,50,19,45,71,30
139,138,Omastar,Spiral Pokémon,Common,No,Rock,Water,Water 1,Water 3,Swift Swim,Shell Armor,Weak Armor,70,60,125,115,70,55,495,35,77,99,"3'03""",Tentacles,0.875,Fast,40,-30,45,173,30
140,,Kabuto,Shellfish Pokémon,Common,No,Rock,Water,Water 1,Water 3,Swift Swim,Battle Armor,Weak Armor,30,80,90,55,45,55,355,12,25,51,"1'08""",Armor,0.875,Fast,50,19,45,71,30
141,140,Kabutops,Shellfish Pokémon,Common,No,Rock,Water,Water 1,Water 3,Swift Swim,Battle Armor,Weak Armor,60,115,105,65,70,80,495,41,89,130,"4'03""",Upright,0.875,Fast,40,-30,45,173,30
142,,Aerodactyl,Fossil Pokémon,Common,No,Rock,Flying,Flying,,Rock Head,Pressure,Unnerve,80,105,65,60,75,130,515,59,130,180,"5'11""",Wings,0.875,Very Slow,50,-10,45,180,35
142M,142,Aerodactyl (Mega Aerodactyl),Fossil Pokémon,Common,No,Rock,Flying,Flying,,Tough Claws,Pressure,Unnerve,80,135,85,70,95,150,615,79,174,211,"6'11""",Wings,0.875,Very Slow,50,-10,45,180,35
143,446,Snorlax,Sleeping Pokémon,Uncommon,No,Normal,,Monster,,Immunity,Thick Fat,Gluttony,160,110,65,65,110,30,540,460,1014,211,"6'11""",Humanoid,0.875,Very Slow,40,-35,25,189,40
144,,Articuno,Freeze Pokémon,Legendary,No,Ice,Flying,Undiscovered,,Pressure,Reckless,Snow Cloak,90,85,100,95,125,85,580,55,122,170,"5'07""",Wings,,Very Slow,30,-25,3,290,45
145,,Zapdos,Electric Pokémon,Legendary,No,Electric,Flying,Undiscovered,,Pressure,Reckless,Static,90,90,85,125,90,100,580,53,116,160,"5'03""",Wings,,Very Slow,30,-25,3,290,45
146,,Moltres,Flame Pokémon,Legendary,No,Fire,Flying,Undiscovered,,Pressure,Reckless,Flame Body,90,100,90,125,85,90,580,60,132,201,"6'07""",Wings,,Very Slow,30,-25,3,290,45
147,,Dratini,Dragon Pokémon,Rare,No,Dragon,,Water 1,Dragon,Shed Skin,Cloud Nine,Marvel Scale,41,64,45,50,50,50,300,3,7,180,"5'11""",Squiggle,0.5,Very Slow,30,19,45,60,40
148,147,Dragonair,Dragon Pokémon,Rare,No,Dragon,,Water 1,Dragon,Shed Skin,Cloud Nine,Marvel Scale,61,84,65,70,70,70,420,17,36,399,"13'01""",Squiggle,0.5,Very Slow,30,-11,45,147,40
149,148,Dragonite,Dragon Pokémon,Rare,No,Dragon,Flying,Water 1,Dragon,Inner Focus,Marvel Scale,Multiscale,91,134,95,100,100,80,600,210,463,221,"7'03""",Upright,1,Very Slow,20,-57,45,300,40
150,,Mewtwo,Genetic Pokémon,Legendary,No,Psychic,,Undiscovered,,Pressure,Synchronize,Unnerve,106,110,90,154,90,130,680,122,269,201,"6'07""",Upright,,Very Slow,0,-25,3,340,50
150X,150,Mewtwo (Mega Mewtwo X),Genetic Pokémon,Legendary,No,Psychic,Fighting,Undiscovered,,Steadfast,Pressure,Unnerve,106,190,100,154,100,130,780,127,280,231,"7'07""",Upright,,Very Slow,0,-25,3,340,50
150Y,150,Mewtwo (Mega Mewtwo Y),Genetic Pokémon,Legendary,No,Psychic,,Undiscovered,,Insomnia,Pressure,Unnerve,106,150,70,194,120,140,780,33,73,150,"4'11""",Upright,,Very Slow,0,-25,3,340,50
151,,Mew,New Species Pokémon,Mythical,No,Psychic,,Undiscovered,,Synchronize,Pressure,Telepathy,100,100,100,100,100,100,600,4,9,41,"1'04""",Upright,,Slow,90,-10,45,300,50
152,,Chikorita,Leaf Pokémon,Uncommon,Classic,Grass,,Monster,Grass,Overgrow,Chlorophyll,Leaf Guard,45,49,65,49,65,45,318,6,14,89,"2'11""",Quadruped,0.875,Slow,70,19,45,64,20
153,152,Bayleef,Leaf Pokémon,Uncommon,No,Grass,,Monster,Grass,Overgrow,Chlorophyll,Leaf Guard,60,62,80,63,80,60,405,16,35,119,"3'11""",Quadruped,0.875,Slow,70,-11,45,142,20
154,153,Meganium,Herb Pokémon,Uncommon,No,Grass,,Monster,Grass,Overgrow,Chlorophyll,Leaf Guard,80,82,100,83,100,80,525,101,222,180,"5'11""",Quadruped,0.875,Slow,60,-57,45,236,20
155,,Cyndaquil,Fire Mouse Pokémon,Uncommon,Classic,Fire,,Field,,Blaze,Quick Feet,Flash Fire,39,52,43,60,50,65,309,8,17,51,"1'08""",Humanoid,0.875,Slow,70,19,45,62,20
156,155,Quilava,Volcano Pokémon,Uncommon,No,Fire,,Field,,Blaze,Quick Feet,Flash Fire,58,64,58,80,65,80,405,19,42,89,"2'11""",Quadruped,0.875,Slow,70,-11,45,142,20
157,156,Typhlosion,Volcano Pokémon,Uncommon,No,Fire,,Field,,Blaze,Quick Feet,Flash Fire,78,84,78,109,85,100,534,80,175,170,"5'07""",Quadruped,0.875,Slow,60,-57,45,240,20
158,,Totodile,Big Jaw Pokémon,Uncommon,Classic,Water,,Monster,Water 1,Torrent,Unburden,Sheer Force,50,65,64,44,48,43,314,9,21,61,"2'00""",Upright,0.875,Slow,70,19,45,63,20
159,158,Croconaw,Big Jaw Pokémon,Uncommon,No,Water,,Monster,Water 1,Torrent,Unburden,Sheer Force,65,80,80,59,63,58,405,25,55,109,"3'07""",Upright,0.875,Slow,70,-11,45,142,20
160,159,Feraligatr,Big Jaw Pokémon,Uncommon,No,Water,,Monster,Water 1,Torrent,Unburden,Sheer Force,85,105,100,79,83,78,530,89,196,231,"7'07""",Upright,0.875,Slow,60,-57,45,239,20
161,,Sentret,Scout Pokémon,Common,No,Normal,,Field,,Run Away,Keen Eye,Frisk,35,46,34,35,45,20,215,6,13,79,"2'07""",Quadruped,0.5,Fast,70,70,255,43,15
162,161,Furret,Long Body Pokémon,Common,No,Normal,,Field,,Run Away,Keen Eye,Frisk,85,76,64,45,55,90,415,32,72,180,"5'11""",Quadruped,0.5,Fast,70,-15,90,145,15
163,,Hoothoot,Owl Pokémon,Common,No,Normal,Flying,Flying,,Insomnia,Keen Eye,Tinted Lens,60,30,30,36,56,50,262,21,47,71,"2'04""",Wings,0.5,Fast,50,70,255,52,15
164,163,Noctowl,Owl Pokémon,Common,No,Normal,Flying,Flying,,Insomnia,Keen Eye,Tinted Lens,100,50,50,86,96,70,452,41,90,160,"5'03""",Wings,0.5,Fast,50,-15,90,158,15
165,,Ledyba,Five Star Pokémon,Common,No,Bug,Flying,Bug,,Swarm,Early Bird,Rattled,40,20,30,40,80,55,265,11,24,99,"3'03""",Wings,0.5,Very Fast,70,70,255,53,15
166,165,Ledian,Five Star Pokémon,Common,No,Bug,Flying,Bug,,Swarm,Early Bird,Iron Fist,55,35,50,55,110,85,390,36,79,140,"4'07""",Wings,0.5,Very Fast,70,-15,90,137,15
167,,Spinarak,String Spit Pokémon,Common,No,Bug,Poison,Bug,,Swarm,Insomnia,Sniper,40,60,40,40,40,30,250,8,19,51,"1'08""",Armor,0.5,Very Fast,70,70,255,50,15
168,167,Ariados,Long Leg Pokémon,Common,No,Bug,Poison,Bug,,Swarm,Insomnia,Sniper,70,90,70,60,70,40,400,34,74,109,"3'07""",Armor,0.5,Very Fast,70,-15,90,140,15
169,42,Crobat,Bat Pokémon,Common,No,Poison,Flying,Flying,,Inner Focus,Gluttony,Infiltrator,85,90,80,70,80,130,535,75,165,180,"5'11""",Bug,0.5,Fast,40,-50,90,268,15
170,,Chinchou,Angler Pokémon,Common,No,Water,Electric,Water 2,,Volt Absorb,Illuminate,Water Absorb,75,38,38,56,56,67,330,12,27,51,"1'08""",Fish,0.5,Very Slow,50,48,190,66,20
171,170,Lanturn,Light Pokémon,Common,No,Water,Electric,Water 2,,Volt Absorb,Illuminate,Water Absorb,125,58,58,76,76,67,460,22,50,119,"3'11""",Fish,0.5,Very Slow,40,-25,75,161,20
172,,Pichu,Tiny Mouse Pokémon,Uncommon,No,Electric,,Undiscovered,,Static,Cheek Pouch,Lightning Rod,20,40,15,35,35,60,205,2,4,30,"1'00""",Quadruped,0.5,Fast,50,48,190,41,10
173,,Cleffa,Star Shape Pokémon,Common,No,Fairy,,Undiscovered,,Cute Charm,Magic Guard,Friend Guard,50,25,28,45,55,15,218,3,7,30,"1'00""",Upright,0.25,Very Fast,100,40,150,44,10
174,,Igglybuff,Balloon Pokémon,Uncommon,Special,Normal,Fairy,Undiscovered,,Cute Charm,Competitive,Friend Guard,90,30,15,40,20,15,210,1,2,30,"1'00""",Humanoid,0.25,Very Fast,50,44,170,42,10
175,,Togepi,Spike Ball Pokémon,Uncommon,Special,Fairy,,Undiscovered,,Hustle,Serene Grace,Super Luck,35,20,65,40,65,20,245,1,3,30,"1'00""",Humanoid,0.875,Very Fast,50,48,190,49,10
176,175,Togetic,Happiness Pokémon,Uncommon,No,Fairy,Flying,Flying,Fairy,Hustle,Serene Grace,Super Luck,55,40,85,80,105,40,405,3,7,61,"2'00""",Humanoid,0.875,Very Fast,40,-25,75,142,10
177,,Natu,Tiny Bird Pokémon,Common,No,Psychic,Flying,Flying,,Synchronize,Early Bird,Magic Bounce,40,50,45,70,45,70,320,2,4,20,"0'08""",Wings,0.5,Fast,50,48,190,64,20
178,177,Xatu,Mystic Pokémon,Common,No,Psychic,Flying,Flying,,Synchronize,Early Bird,Magic Bounce,65,75,70,95,70,95,470,15,33,150,"4'11""",Wings,0.5,Fast,40,-25,75,165,20
179,,Mareep,Wool Pokémon,Uncommon,Special,Electric,,Monster,Field,Static,Minus,Plus,55,40,40,65,45,35,280,8,17,61,"2'00""",Quadruped,0.5,Slow,70,65,235,56,20
180,179,Flaaffy,Wool Pokémon,Uncommon,No,Electric,,Monster,Field,Static,Minus,Plus,70,55,55,80,60,45,365,13,29,79,"2'07""",Upright,0.5,Slow,70,12,120,128,20
181,180,Ampharos,Light Pokémon,Uncommon,No,Electric,,Monster,Field,Static,Minus,Plus,90,75,85,115,90,55,510,62,136,140,"4'07""",Upright,0.5,Slow,60,-57,45,230,20
181M,181,Ampharos (Mega Ampharos),Light Pokémon,Uncommon,No,Electric,,Monster,Field,Mold Breaker,Minus,Plus,90,95,105,165,110,45,610,62,136,140,"4'07""",Upright,0.5,Slow,60,-57,45,230,20
182,44,Bellossom,Flower Pokémon,Common,No,Grass,,Grass,,Chlorophyll,Dancer,Healer,75,80,95,90,100,50,490,6,13,41,"1'04""",Humanoid,0.5,Slow,40,-57,45,245,20
183,298,Marill,Aqua Mouse Pokémon,Uncommon,No,Water,Fairy,Water 1,Fairy,Thick Fat,Huge Power,Sap Sipper,70,20,50,20,50,40,250,8,19,41,"1'04""",Upright,0.5,Very Fast,50,35,190,88,10
184,183,Azumarill,Aqua Rabbit Pokémon,Uncommon,No,Water,Fairy,Water 1,Fairy,Thick Fat,Huge Power,Sap Sipper,100,50,80,60,80,50,420,28,63,79,"2'07""",Upright,0.5,Very Fast,40,-51,75,210,10
185,438,Sudowoodo,Imitation Pokémon,Common,No,Rock,,Mineral,,Sturdy,Rock Head,Rattled,70,100,115,30,65,30,410,38,84,119,"3'11""",Humanoid,0.5,Fast,40,-25,65,144,20
186,61,Politoed,Frog Pokémon,Common,No,Water,,Water 1,,Water Absorb,Damp,Drizzle,90,75,75,90,100,70,500,34,75,109,"3'07""",Humanoid,0.5,Slow,40,-57,45,250,20
187,,Hoppip,Cottonweed Pokémon,Common,No,Grass,Flying,Fairy,Grass,Chlorophyll,Leaf Guard,Infiltrator,35,35,40,35,55,50,250,0,1,41,"1'04""",Upright,0.5,Slow,70,70,255,50,20
188,187,Skiploom,Cottonweed Pokémon,Common,No,Grass,Flying,Fairy,Grass,Chlorophyll,Leaf Guard,Infiltrator,55,45,50,45,65,80,340,1,2,61,"2'00""",Upright,0.5,Slow,70,12,120,119,20
189,188,Jumpluff,Cottonweed Pokémon,Common,No,Grass,Flying,Fairy,Grass,Chlorophyll,Leaf Guard,Infiltrator,75,55,70,55,95,110,460,3,7,79,"2'07""",Upright,0.5,Slow,60,-57,45,207,20
190,,Aipom,Long Tail Pokémon,Common,No,Normal,,Field,,Run Away,Pickup,Skill Link,55,70,55,40,55,85,360,12,25,79,"2'07""",Upright,0.5,Very Fast,70,-10,45,72,20
191,,Sunkern,Seed Pokémon,Common,No,Grass,,Grass,,Chlorophyll,Solar Power,Early Bird,30,30,30,30,30,30,180,2,4,30,"1'00""",Ball,0.5,Slow,70,65,235,40,20
192,191,Sunflora,Sun Pokémon,Common,No,Grass,,Grass,,Chlorophyll,Solar Power,Early Bird,75,75,55,105,85,30,425,8,19,79,"2'07""",Humanoid,0.5,Slow,70,-12,120,149,20
193,,Yanma,Clear Wing Pokémon,Common,No,Bug,Flying,Bug,,Speed Boost,Compound Eyes,Frisk,65,65,45,75,45,95,390,38,84,119,"3'11""",Bug,0.5,Fast,70,1,75,78,20
194,,Wooper,Water Fish Pokémon,Uncommon,Special,Water,Ground,Water 1,Field,Damp,Water Absorb,Unaware,55,45,45,25,25,15,210,8,19,41,"1'04""",Legs,0.5,Fast,50,70,255,42,20
195,194,Quagsire,Water Fish Pokémon,Uncommon,No,Water,Ground,Water 1,Field,Damp,Water Absorb,Unaware,95,85,85,65,65,35,430,75,165,140,"4'07""",Upright,0.5,Fast,50,-15,90,151,20
196,133,Espeon,Sun Pokémon,Rare,No,Psychic,,Field,,Synchronize,Adaptability,Magic Bounce,65,65,60,130,95,110,525,26,58,89,"2'11""",Quadruped,0.875,Fast,40,-30,45,184,35
197,133,Umbreon,Moonlight Pokémon,Rare,No,Dark,,Field,,Synchronize,Adaptability,Inner Focus,95,65,110,60,130,65,525,27,60,99,"3'03""",Quadruped,0.875,Fast,30,-30,45,184,35
198,,Murkrow,Darkness Pokémon,Common,No,Dark,Flying,Flying,,Insomnia,Super Luck,Prankster,60,85,42,85,42,91,405,2,5,51,"1'08""",Wings,0.5,Slow,30,-15,30,81,20
199,79,Slowking,Royal Pokémon,Common,No,Water,Psychic,Monster,Water 1,Oblivious,Own Tempo,Regenerator,95,75,80,100,110,30,490,80,175,201,"6'07""",Upright,0.5,Fast,40,-25,70,172,20
200,,Misdreavus,Screech Pokémon,Common,No,Ghost,,Amorphous,,Levitate,Prankster,Poison Heal,60,60,60,85,85,85,435,1,2,71,"2'04""",Ball,0.5,Very Fast,30,-10,45,87,25
201,,Unown,Symbol Pokémon,Rare,No,Psychic,,Undiscovered,,Levitate,Adaptability,Simple,48,72,48,72,48,48,336,5,11,51,"1'08""",Ball,,Fast,70,54,225,118,40
202,360,Wobbuffet,Patient Pokémon,Uncommon,No,Psychic,,Amorphous,,Shadow Tag,Sturdy,Telepathy,190,33,58,33,58,33,405,28,63,130,"4'03""",Blob,0.5,Fast,40,-30,45,142,20
203,,Girafarig,Long Neck Pokémon,Common,No,Normal,Psychic,Field,,Inner Focus,Early Bird,Sap Sipper,70,80,65,90,65,85,455,42,92,150,"4'11""",Quadruped,0.5,Fast,70,-1,60,159,20
204,,Pineco,Bagworm Pokémon,Common,No,Bug,,Bug,,Sturdy,Rough Skin,Overcoat,50,65,90,35,35,15,290,7,16,61,"2'00""",Ball,0.5,Fast,70,48,190,58,20
205,204,Forretress,Bagworm Pokémon,Common,No,Bug,Steel,Bug,,Sturdy,Rough Skin,Overcoat,75,90,140,60,60,40,465,126,277,119,"3'11""",Ball,0.5,Fast,60,-25,75,163,20
206,,Dunsparce,Land Snake Pokémon,Common,No,Normal,,Field,,Serene Grace,Run Away,Rattled,100,70,70,65,65,45,415,14,31,150,"4'11""",Squiggle,0.5,Fast,50,42,190,145,20
207,,Gligar,Fly Scorpion Pokémon,Common,No,Ground,Flying,Bug,,Hyper Cutter,Sand Veil,Immunity,65,75,105,35,65,85,430,65,143,109,"3'07""",Wings,0.5,Slow,70,-1,60,86,20
208,95,Steelix,Iron Snake Pokémon,Common,No,Steel,Ground,Mineral,,Rock Head,Sturdy,Sheer Force,75,85,200,55,65,30,510,400,882,919,"30'02""",Squiggle,0.5,Fast,40,-35,25,179,25
208M,208,Steelix (Mega Steelix),Iron Snake Pokémon,Common,No,Steel,Ground,Mineral,,Sand Force,Sturdy,Sheer Force,75,125,230,55,95,30,610,740,1631,1049,"34'05""",Squiggle,0.5,Fast,40,-35,25,179,25
209,,Snubbull,Fairy Pokémon,Common,No,Fairy,,Field,Fairy,Intimidate,Run Away,Rattled,60,80,50,40,40,30,300,8,17,61,"2'00""",Humanoid,0.5,Very Fast,70,48,190,60,20
210,209,Granbull,Fairy Pokémon,Common,No,Fairy,,Field,Fairy,Intimidate,Quick Feet,Rattled,90,120,75,60,60,45,450,49,107,140,"4'07""",Upright,0.5,Very Fast,60,-25,75,158,20
211,,Qwilfish,Balloon Pokémon,Common,No,Water,Poison,Water 2,,Poison Point,Swift Swim,Intimidate,65,95,85,55,55,85,440,4,9,51,"1'08""",Fish,0.5,Fast,50,-10,45,88,20
212,123,Scizor,Pincer Pokémon,Common,No,Bug,Steel,Bug,,Swarm,Technician,Light Metal,70,130,100,55,80,65,500,118,260,180,"5'11""",Bug,0.5,Fast,40,-35,25,175,25
212M,212,Scizor (Mega Scizor),Pincer Pokémon,Common,No,Bug,Steel,Bug,,Technician,Technician,Light Metal,70,150,140,65,100,75,600,125,276,201,"6'07""",Bug,0.5,Fast,40,-35,25,175,25
213,,Shuckle,Mold Pokémon,Common,No,Bug,Rock,Bug,,Sturdy,Gluttony,Contrary,20,10,230,10,230,5,505,21,45,61,"2'00""",Armor,0.5,Slow,50,42,190,177,20
214,,Heracross,Single Horn Pokémon,Common,No,Bug,Fighting,Bug,,Swarm,Guts,Moxie,80,125,75,40,95,85,500,54,119,150,"4'11""",Humanoid,0.5,Very Slow,50,-10,45,175,25
214M,214,Heracross (Mega Heracross),Single Horn Pokémon,Common,No,Bug,Fighting,Bug,,Skill Link,Guts,Moxie,80,185,115,40,105,75,600,63,138,170,"5'07""",Humanoid,0.5,Very Slow,50,-10,45,175,25
215,,Sneasel,Sharp Claw Pokémon,Common,No,Dark,Ice,Field,,Inner Focus,Keen Eye,Pickpocket,55,95,55,35,75,115,430,28,62,89,"2'11""",Upright,0.5,Slow,30,-1,60,86,20
216,,Teddiursa,Little Bear Pokémon,Uncommon,Special,Normal,,Field,,Pickup,Quick Feet,Honey Gather,60,80,50,50,50,40,330,9,19,61,"2'00""",Upright,0.5,Fast,70,35,120,66,20
