Team,Name,Surname,Occupation,Items,[Connections]
Kami,Midas,Theos,Astronomer,Disc Binder: Holds all RKS Memories. ~ Reflex Headband: 10% chance of parrying any move ~ Unoolbox: Holds Unown Stones,Mentor: Seikon Tsukitsune
Brawl,Fergus,Lockhart,Fighter,Trinket Box: Holds Exclusive Items,
Stinger,Maki,Katsuo,Leader,Eject Button: Switches with teammate if hit ~ Poisonium Z: Turns a Poison move into Acid Downpour,
Triumph,Rami,Yoshino,V-Wheel Operator,Courage Crown: +1 AT ~  Wonder Launcher: Launches Pucks that cause various effects; needs to be recharged ~ V-Wheel: Controls Weather,
Triumph,Mira,Yoshino,Medal Delivery,Effort Crown: +1 DF ~ Medal Box: Carries Medals to reward teams ~ Reveal Glass: Reveals Form Change Enlightenments,
Justice,Diane,Shield,Musketeer,Savior Cape: +1 DF and SD for each teammate wearing a Savior Cape,
Chronos,Betelgeuse,Chronos,Officer,United Scarf: Enhanced Coalition Scarf that boosts team attacks. ~ Bounty Scanner: Scans Pokemon to check if they're Outlaws or Wanted ~ Treasure Bag: Allows Teams to hold more than 3 items,Friends: Lyra Chronos; Vega Chronos; Sirius Chronos
Kami,Seikon,Tsukitsune,Shrine Guardian,Carubyncle: Red gem slotted in his chest; grants eternal youth. ~ Eevee Beads: Praying beads with all evolutionary stones attached: Fire; Water; Thunder; Leaf; Ice; Moon; Sun; Shiny; Dusk; and Dawn. Can evolve any Eevee or Eeveelution. ~ Ninetalium Z: Turns Will-O-Wisp into Light Of Shinto,Pupil: Midas Theos
Stinger,Max,Keikei,Vice Leader,White Herb (4): Nullifies one status move ~ Razor Fang: +10% flinch chance,
Labor,Jeronimo,Cantu,Don't Ask,Link Box: Allows move linking~ Big Eater Belt: 2X Belly from food,
Loophole,Xenocrates,Edda,Death Cocoon Guard,Life Herb: Skips charge and recharge turns once,Crush: Yggdrasil Edda ~ Friend: Zephyr Edda
Loophole,Yggdrasil,Edda,Life Tree Guard,Death Orb: Drains opponent's HP; lowers power of holder's moves.,Crush: Xenocrates Edda ~ Friend: Zephyr Edda
Competitive,Sebastian,Madden,Vice Leader,Red Flute: Cures Infatuation ~ Free Ribbon: Prevents trapping and binding,
Hilink,Kuro,Ryuuniki,Leader,Focus Sash: Resists OHKO's with 1HP left. ~ Dark Stone: Reverts Zekrom to Dark Orb; making it unable to move; but immune to damage,Sister: Shiro Ryuumouto
Ryu,Codd,Branford,President of Nuricom Alliance,Nurichaku Chaincoil: Nunchucks with Tesla coils on each end. x2 AT in exchange of 1 HP per successful move. ~ Nurigou Magnetar: Compressed Neutron Star piece. Immune to Trick Room and Ground/Rock type moves. ~ Nurimitsu Goudachi: Replaces a move with any Slash move.,Wife: Sheng Zhandou ~ Pupil: Jake Northstar ~ Friends: Cavum Nirum; Vega Chronos ~ Rival: Sid Tensei
Tread,Cedric,Stroll,Sharp Line,Scope Lens: +1 Crit Chance,
Bouken,Niko,Harmonia,Vice Leader,Sona Powerplant: Immune to damage during Illusion. ~ Zoroarkium Z: Turns Night Daze into Cunning Devastation,
Haruna,Tokumei,Kii,Fujisancho Vice Administrator,Bleached Battlesash: Resists OHKO's with 1HP left; recharges. ~ Whale Lamp: Boosts Water and Dragon type moves. ~ Expert Belt: +20% PW with supereffective moves.,Boyfren: Flaros Overfield
Loophole,Zephyr,Edda,Leader,Carbon Cells (6): Triggers 100% Form immediately; single use. ~ Zygarde Cube: Stores Moves and Cells ~ Time Space Orb (1): +6 all stats,Friends: Yggdrasil Edda; Xenocrates Edda; Jake Northstar
