ID,Name,Generation,Description
380,Lonely Courage,1,"When the Pokemon has no nearby teammates, all it's stats are boosted by 1 stage."
381,Long Range Rescue,1,The team can rescue a Pokemon just by being in the same floor.
383,Mind Over Matter,1,Wonder tiles will heal all status conditions.
384,Narrow Focus,1,The Pokemon boosts it's evasion by 1 stage when inside a corridor.
385,No U,1,"The Pokemon reflects regular attacks back to the sender. It doesn't affect moves, items, or anything else."
390,PP Siphon,1,The Pokemon has a 10% chance to drain PP from the foe when using a regular attack.
391,Rapid Bullseye,1,Increases accuracy by 1 stage while using multihit moves.
393,Recoil Boost,1,"Moves that recoil do 2X damage. The recoil will also be doubled, so be careful!"
396,Shared Happiness,1,If a teammate's status condition is healed; it also heals the same condition to the entire team.
398,Smiles Go For Miles,1,Successfully completing all missions on the current dungeon gives the whole team a massive +3 boost on all stats.
399,Squad Up,1,"Apricorns, gifts, and other recruiting items thrown by the user have a 10% higher chance of recruiting Pokemon for each teammate close to the user."
400,Squeeze Out,1,"If all moves have 0 PP and the user lands a regular attack, it squeezes an extra PP to a random move."
401,Steamroll,1,Ignores types and abilities lowering a move's damage.
402,Stimulation,1,All stats are boosted by 1 stage when Belly is above half capacity; but it drains twice as fast.
403,Strike Back,1,If anyone in the team is attacked from behind; the foe's AT and SA is lowered.
404,Synced Breathing,1,Alliances do not consume Belly.
405,Taiyou,1,The whole team is immune to Curse; Grudge; and Perish Song.
408,Tight Formation,1,The more team members; the lower the damage from wide-ranging moves such as Wide Slash.
409,Unyelding Bravery,1,The Pokemon boosts all it's stats by 1 when fighting a Legendary or Mythical Pokemon.
410,Warmth,1,"If a teammate with maxed out Connection is nearby, the Pokemon's Belly does not deplete."
411,Wary Walk,1,The Pokemon will shiver and freeze in place for 1 turn if it detects a trap nearby.
414,Yang,1,Doubles nearby Zekrom's Speed
415,Yin,1,Doubles nearby Reshiram's Speed
,Astral Shift,Finisher,Separates body and spirit; only body can take damage; only spirit can inflict damage.
,Denied,Finisher,Disables all of one foe's moves
,Dimensional Shockwave,Finisher,Provides detailed; whole-floor analysis of past or future turns.
,Equivalent Exchange,Finisher,It allows using one item without consuming it. Leaves the user with 1 HP.
,War Haze,Finisher,+1 AT or SA every turn
,War Mist,Finisher,+1 DF or SD every turn
,Machine Learning,Finisher,An advanced AI will control the user's body for 5 turns. What in the world...?
,Reality Bending,Finisher,"Randomizes the Accuracy and Evasion of all Pokemon in the room, including teammates."
,Battle Bond,Form Change,
,Full Moon,Form Change ,
,Fusion,Form Change ,
,Megaevolution,Form Change ,
,Meteor Forms,Form Change ,
,Omni,Form Change ,
,Origin Form,Form Change ,
,Overdrive,Form Change ,
,Power Construct,Form Change ,
,Primal Reversion,Form Change ,
,Radiant Sun,Form Change ,
,Reliquia,Form Change ,
,Resolution,Form Change ,
,Season Leaves,Form Change ,
,Sky Forme,Form Change ,
,Style Shift,Form Change ,
,Ultra Burst,Form Change ,
,Zen,Form Change ,
,Zenith,Form Change ,
,Carbon Gene,Mugen Gene,Can be activated any time; 2X SD
,Helium Gene,Mugen Gene,Can be activated any time; 2X SA
,Hydrogen Gene,Mugen Gene,Can be activated any time; 2X EV
,Iron Gene,Mugen Gene,Can be activated any time; 2X DF
,Neon Gene,Mugen Gene,Can be activated any time; 2X SP
,Nitrogen Gene,Mugen Gene,Can be activated any time; 2X AC
,Oxygen Gene,Mugen Gene,Can be activated any time; 2X AT
,Silicon Gene,Mugen Gene,Can be activated any time; 2X HP
