ID,Name,Description,Old Name,Old Description,
186,Haban Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its accuracy will increase just once when it’s in a pinch.",haban-berry,Held: Consumed when struck by a super-effective Dragon-type attack to halve the damage.,
187,Colbur Berry,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it will be able to move first just once when it’s in a pinch.",colbur-berry,Held: Consumed when struck by a super-effective Dark-type attack to halve the damage.,
188,Babiri Berry,"A Berry to be consumed by Pokémon. If a physical attack hits the Pokémon holding it, the attacker will also be hurt.",babiri-berry,Held: Consumed when struck by a super-effective Steel-type attack to halve the damage.,
189,Chilan Berry,"A Berry to be consumed by Pokémon. If a special attack hits the Pokémon holding it, the attacker will also be hurt.",chilan-berry,Held: Consumed when struck by a Normal-type attack to halve the damage.,
190,Liechi Berry,An item to be held by a Pokémon. It casts a tricky glare that lowers the opposing Pokémon’s accuracy.,liechi-berry,Held: Consumed at 1/4 max HP to boost Attack.,
191,Ganlon Berry,An item to be held by a Pokémon. It will restore any lowered stat in battle. It can be used only once.,ganlon-berry,Held: Consumed at 1/4 max HP to boost Defense.,
192,Salac Berry,"An item to be held by a Pokémon. This stiff, heavy brace helps Pokémon grow strong but cuts Speed in battle.",salac-berry,Held: Consumed at 1/4 max HP to boost Speed.,
193,Petaya Berry,Turning on this special device will allow all the Pokémon on your team to receive Exp. Points from battles.,petaya-berry,Held: Consumed at 1/4 max HP to boost Special Attack.,
194,Apicot Berry,"An item to be held by a Pokémon. This light, sharp claw lets the bearer move first occasionally.",apicot-berry,Held: Consumed at 1/4 max HP to boost Special Defense.,
195,Lansat Berry,"An item to be held by a Pokémon. The comforting chime of this bell calms the holder, making it friendly.",lansat-berry,Held: Consumed at 1/4 max HP to boost critical hit ratio by two stages.,
196,Starf Berry,An item to be held by a Pokémon. The holder shakes off move-binding effects to move freely. It can be used only once.,starf-berry,Held: Consumed at 1/4 max HP to boost a random stat by two stages.,
197,Enigma Berry,An item to be held by a Pokémon. This curious headband boosts Attack but only allows the use of one move.,enigma-berry,Held: Consumed when struck by a super-effective attack to restore 1/4 max HP.,
198,Micle Berry,"An item to be held by a Pokémon. When the holder successfully inflicts damage, the target may also flinch.",micle-berry,Held: Consumed at 1/4 max HP to boost accuracy of next move by 20%. (Gen IV: Perfect accuracy),
199,Custap Berry,An item to be held by a Pokémon. It’s a shiny silver powder that will boost the power of Bug-type moves.,custap-berry,Held: Consumed at 1/4 max HP when using a move to go first.,
200,Jaboca Berry,An item to be held by a Pokémon. It doubles any prize money received if the holding Pokémon joins a battle.,jaboca-berry,Held: Consumed to deal 1/8 attacker's max HP when holder is struck by a physical attack.,
201,Rowap Berry,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the head of the party.,rowap-berry,Held: Consumed to deal 1/8 attacker's max HP when holder is struck by a special attack.,
202,Bright Powder,A wondrous orb to be held by either Latios or Latias. It raises the power of Psychic- and Dragon-type moves.,bright-powder,Held: Increases the holder's evasion by 1/9 (11 1/9%).,
203,White Herb,An item to be held by Clamperl. This fang gleams a sharp silver and raises the holder’s Sp. Atk stat.,white-herb,Held: Resets all lowered stats to normal at end of turn. Consumed after use.,
204,Macho Brace,An item to be held by Clamperl. This scale shines with a faint pink and raises the holder’s Sp. Def stat.,macho-brace,"Held: Holder gains double effort values from battles, but has halved Speed in battle.",
205,Exp. Share,An item to be held by a Pokémon. It enables the holder to flee from any wild Pokémon encounter without fail.,exp-share,Held: Half the experience from a battle is split between Pokémon holding this item.,
206,Quick Claw,An item to be held by a Pokémon. A Pokémon holding this peculiar stone is prevented from evolving.,quick-claw,Held: Holder has a 3/16 (18.75%) chance to move first.,
207,Soothe Bell,"An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP.",soothe-bell,Held: Doubles the happiness earned by the holder.,
208,Mental Herb,An item to be held by a Pokémon. It’s an egg filled with happiness that earns extra Exp. Points in battle.,mental-herb,"Held: Consumed to cure infatuation. Gen V: Also removes Taunt, Encore, Torment, Disable, and Cursed Body.",
209,Choice Band,An item to be held by a Pokémon. It’s a lens for scoping out weak points. It boosts the holder’s critical-hit ratio.,choice-band,"Held: Increases Attack by 50%, but restricts the holder to only one move.",
210,King’s Rock,An item to be held by a Pokémon. It’s a special metallic film that can boost the power of Steel-type moves.,kings-rock,Held: Damaging moves gain a 10% chance to make their target flinch. Traded on a Poliwhirl: Holder evolves into Politoed. Traded on a Slowpoke: Holder evolves into Slowking.,
211,Silver Powder,An item to be held by a Pokémon. The holder’s HP is slowly but steadily restored throughout every battle.,silver-powder,Held: Bug-Type moves from holder do 20% more damage.,
212,Amulet Coin,A very tough and inflexible scale. Dragon-type Pokémon may be holding this item when caught.,amulet-coin,Held: Doubles the money earned from a battle. Does not stack with Luck Incense.,
213,Cleanse Tag,An item to be held by Pikachu. It’s a puzzling orb that boosts its Attack and Sp. Atk stats.,cleanse-tag,Prevents wild encounters of level lower than your party's lead Pokémon.,
214,Soul Dew,"An item to be held by a Pokémon. It’s a loose, silky sand that boosts the power of Ground-type moves.",soul-dew,Raises Latias and Latios's Special Attack and Special Defense by 50%.,
215,Deep Sea Tooth,An item to be held by a Pokémon. It’s a durable stone that boosts the power of Rock-type moves.,deep-sea-tooth,Doubles Clamperl's Special Attack. Traded on a Clamperl: Holder evolves into Huntail.,
216,Deep Sea Scale,An item to be held by a Pokémon. It’s a seed imbued with life force that boosts the power of Grass-type moves.,deep-sea-scale,Doubles Clamperl's Special Defense. Traded on a Clamperl: Holder evolves into Gorebyss.,
217,Smoke Ball,An item to be held by a Pokémon. A pair of shady-looking glasses that boost the power of Dark-type moves.,smoke-ball,Held: Allows the Holder to escape from any wild battle.,
218,Everstone,An item to be held by a Pokémon. This belt helps the wearer to focus and boosts the power of Fighting-type moves.,everstone,Held: Prevents level-based evolution from occuring.,
219,Focus Band,An item to be held by a Pokémon. It’s a powerful magnet that boosts the power of Electric-type moves.,focus-band,Held: Holder has 10% chance to survive attacks or self-inflicted damage at 1 HP.,
220,Lucky Egg,An item to be held by a Pokémon. This teardrop-shaped gem boosts the power of Water-type moves.,lucky-egg,Held: Increases EXP earned in battle by 50%.,
221,Scope Lens,"An item to be held by a Pokémon. It’s a long, sharp beak that boosts the power of Flying-type moves.",scope-lens,Held: Raises the holder's critical hit ratio by one stage.,
222,Metal Coat,"An item to be held by a Pokémon. This small, poisonous barb boosts the power of Poison-type moves.",metal-coat,Held: Steel-Type moves from holder do 20% more damage.,
223,Leftovers,An item to be held by a Pokémon. It’s a heat- repelling piece of ice that boosts the power of  Ice-type moves.,leftovers,Held: Restores 1/16 (6.25%) holder's max HP at the end of each turn.,
224,Dragon Scale,"An item to be held by a Pokémon. It’s a sinister, eerie tag that boosts the power of Ghost-type moves.",dragon-scale,Traded on a Seadra: Holder evolves into Kingdra.,
225,Light Ball,An item to be held by a Pokémon. This spoon is imbued with telekinetic power and boosts Psychic-type moves.,light-ball,Doubles Pikachu's Attack and Special Attack. Breed on Pikachu or Raichu: Pichu Egg will have Volt Tackle.,
226,Soft Sand,An item to be held by a Pokémon. It’s a combustible fuel that boosts the power of Fire-type moves.,soft-sand,Held: Ground-Type moves from holder do 20% more damage.,
227,Hard Stone,An item to be held by a Pokémon. This hard and sharp fang boosts the power of Dragon-type moves.,hard-stone,Held: Rock-Type moves from holder do 20% more damage.,
228,Miracle Seed,An item to be held by a Pokémon. It’s a sumptuous scarf that boosts the power of Normal-type moves.,miracle-seed,Held: Grass-Type moves from holder do 20% more damage.,
229,Black Glasses,A transparent device somehow filled with all sorts of data. It was produced by Silph Co.,black-glasses,Held: Dark-Type moves from holder do 20% more damage.,
230,Black Belt,An item to be held by a Pokémon. The holder regains a little HP every time it inflicts damage on others.,black-belt,Held: Fighting-Type moves from holder do 20% more damage.,
231,Magnet,An item to be held by a Pokémon. This incense has a curious aroma that boosts the power of Water-type moves.,magnet,Held: Electric-Type moves from holder do 20% more damage.,
232,Mystic Water,An item to be held by a Pokémon. The beguiling aroma of this incense may cause attacks to miss its holder.,mystic-water,Held: Water-Type moves from holder do 20% more damage.,
233,Sharp Beak,An item to be held by Chansey. This pair of lucky boxing gloves will boost Chansey’s critical-hit ratio.,sharp-beak,Held: Flying-Type moves from holder do 20% more damage.,
234,Poison Barb,"An item to be held by Ditto. Extremely fine yet hard, this odd powder boosts the Defense stat.",poison-barb,Held: Poison-Type moves from holder do 20% more damage.,
235,Never-Melt Ice,An item to be held by Cubone or Marowak. It’s a hard bone of some sort that boosts the Attack stat.,never-melt-ice,Held: Ice-Type moves from holder do 20% more damage.,
236,Spell Tag,An item to be held by Farfetch’d. This very long and stiff stalk of leek boosts its critical-hit ratio.,spell-tag,Held: Ghost-Type moves from holder do 20% more damage.,
237,Twisted Spoon,"An item to be held by a Pokémon. During a contest, it raises the Cool aspect of the Pokémon holding it.",twisted-spoon,Held: Psychic-Type moves from holder do 20% more damage.,
238,Charcoal,"An item to be held by a Pokémon. During a contest, it raises the Beauty aspect of the Pokémon holding it.",charcoal,Held: Fire-Type moves from holder do 20% more damage.,
239,Dragon Fang,"An item to be held by a Pokémon. During a contest, it raises the Cute aspect of the Pokémon holding it.",dragon-fang,Held: Dragon-Type moves from holder do 20% more damage.,
240,Silk Scarf,"An item to be held by a Pokémon. During a contest, it raises the Clever aspect of the Pokémon holding it.",silk-scarf,Held: Normal-Type moves from holder do 20% more damage.,
241,Upgrade,"An item to be held by a Pokémon. During a contest, it raises the Tough aspect of the Pokémon holding it.",up-grade,Traded on a Porygon: Holder evolves into Porygon2.,
242,Shell Bell,An item to be held by a Pokémon. It’s a magnifying lens that slightly boosts the accuracy of moves.,shell-bell,Held: Holder receives 1/8 of the damage it deals when attacking.,
243,Sea Incense,"An item to be held by a Pokémon. This headband exudes strength, slightly boosting the power of physical moves.",sea-incense,Held: Water-Type moves from holder do 20% more damage. Breeding: Marill or Azumarill beget an Azurill Egg.,
244,Lax Incense,An item to be held by a Pokémon. This thick pair of glasses slightly boosts the power of special moves.,lax-incense,Held: Holder's evasion is increased by 5%. Breeding: Wobbuffet begets a Wynaut Egg.,
245,Lucky Punch,An item to be held by a Pokémon. It’s a well-worn belt that slightly boosts the power of supereffective moves.,lucky-punch,Raises Chansey's critical hit ratio by two stages.,
246,Metal Powder,An item to be held by a Pokémon. Protective moves like Light Screen and Reflect will be effective longer.,metal-powder,Raises Ditto's Defense and Special Defense by 50%. The boost is lost after transforming.,
247,Thick Club,"An item to be held by a Pokémon. It boosts the power of moves, but at the cost of some HP on each hit.",thick-club,Doubles Cubone or Marowak's Attack.,
248,Leek,A single-use item to be held by a Pokémon. It allows the holder to immediately use a move that normally requires a turn to charge.,stick,Raises Farfetch'd's critical hit ratio by two stages.,
249,Red Scarf,An item to be held by a Pokémon. It’s a bizarre orb that will badly poison the holder during battle.,red-scarf,Raises the holder's Coolness while in a contest.,
250,Blue Scarf,An item to be held by a Pokémon. It’s a bizarre orb that will afflict the holder with a burn during battle.,blue-scarf,Raises the holder's Beauty while in a contest.,
251,Pink Scarf,"An item to be held by Ditto. Extremely fine yet hard, this odd powder boosts the Speed stat.",pink-scarf,Raises the holder's Cuteness while in a contest.,
252,Green Scarf,"An item to be held by a Pokémon. If the holder has full HP, it will endure a potential KO attack with 1 HP. The item then disappears.",green-scarf,Raises the holder's Smartness while in a contest.,
253,Yellow Scarf,"An item to be held by a Pokémon. If the holder moves after its target moves, its accuracy will be boosted.",yellow-scarf,Raises the holder's Toughness while in a contest.,
254,Wide Lens,"An item to be held by a Pokémon. It boosts moves used consecutively, but only until a different move is used.",wide-lens,Held: Provides a 1/10 (10%) boost in accuracy to the holder.,
255,Muscle Band,An item to be held by a Pokémon. It lowers Speed and allows Ground-type moves to hit Flying-type and levitating holders.,muscle-band,Held: Boosts the damage of physical moves used by the holder by 10%.,
256,Wise Glasses,An item to be held by a Pokémon. It is tremendously heavy and makes the holder move slower than usual.,wise-glasses,Held: Boosts the damage of special moves used by the holder by 1/10 (10%).,
257,Expert Belt,"An item to be held by a Pokémon. If the holder becomes infatuated, the opposing Pokémon will be, too.",expert-belt,Held: Holder's Super Effective moves do 20% extra damage.,
258,Light Clay,An item to be held by a Pokémon. It gradually restores HP to Poison-type Pokémon. It damages any other type.,light-clay,Held: Light Screen and Reflect used by the holder last 8 rounds instead of 5.,
259,Life Orb,An item to be held by a Pokémon. It extends the duration of the move Hail when used by the holder.,life-orb,"Held: Holder's moves inflict 30% extra damage, but cost 10% max HP.",
260,Power Herb,An item to be held by a Pokémon. It extends the duration of the move Sandstorm when used by the holder.,power-herb,Held: Both turns of a two-turn charge move happen at once. Consumed upon use.,
261,Toxic Orb,An item to be held by a Pokémon. It extends the duration of the move Sunny Day when used by the holder.,toxic-orb,Held: Inflicts Toxic on the holder at the end of the turn. Activates after Poison damage would occur.,
262,Flame Orb,An item to be held by a Pokémon. It extends the duration of the move Rain Dance when used by the holder.,flame-orb,Held: Inflicts Burn on the holder at the end of the turn. Activates after Burn damage would occur.,
263,Quick Powder,An item to be held by a Pokémon. It extends the duration of multi-turn attacks like Bind and Wrap.,quick-powder,Doubles Ditto's Speed when held. The boost is lost after transforming.,
264,Focus Sash,An item to be held by a Pokémon. This curious scarf boosts Speed but only allows the use of one move.,focus-sash,"Held: Holder survives any single-hit attack at 1 HP if at max HP, then the item is consumed.",
265,Zoom Lens,An item to be held by a Pokémon. It damages the holder every turn and may latch on to Pokémon that touch the holder.,zoom-lens,Held: Provides a 1/5 (20%) boost in accuracy if the holder moves after the target.,
266,Metronome,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Attack stat to grow more after battling.,metronome,Held: Consectutive uses of the same attack have a cumulative damage boost of 10%. Maximum 100% boost.,
267,Iron Ball,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Defense stat to grow more after battling.,iron-ball,"Held: Holder's Speed is halved. Negates all Ground-type immunities, and makes Flying-types take neutral damage from Ground-type moves. Arena Trap. Spikes, and Toxic Spikes affect the holder.",
268,Lagging Tail,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Sp. Atk stat to grow more after battling.,lagging-tail,Held: Holder moves last in its priority bracket.,
269,Destiny Knot,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Sp. Def stat to grow more after battling.,destiny-knot,Held: Infatuates opposing Pokémon when holder is inflicted with infatuation.,
270,Black Sludge,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Speed stat to grow more after battling.,black-sludge,Held: Poison-type holder recovers 1/16 (6.25%) max HP each turn. Non-Poison-Types take 1/8 (12.5%) max HP damage.,
271,Icy Rock,An item to be held by a Pokémon. It reduces Speed but allows the holder’s maximum HP to grow more after battling.,icy-rock,Held: Hail by the holder lasts 8 rounds instead of 5.,
272,Smooth Rock,An item to be held by a Pokémon. This discarded carapace enables the holder to switch out of battle without fail.,smooth-rock,Held: Sandstorm by the holder lasts 8 rounds instead of 5.,
273,Heat Rock,An item to be held by a Pokémon. It boosts the amount of HP the holder recovers from  HP-stealing moves.,heat-rock,Held: Sunny Day by the holder lasts 8 rounds instead of 5.,
274,Damp Rock,An item to be held by a Pokémon. These curious glasses boost Sp. Atk but only allow the use of one move.,damp-rock,Held: Rain Dance by the holder lasts 8 rounds instead of 5.,
275,Grip Claw,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Fire-type moves.,grip-claw,Held: Holder's multi-turn trapping moves last 5 turns.,
276,Choice Scarf,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Water-type moves.,choice-scarf,"Held: Increases Speed by 50%, but restricts the holder to only one move.",
277,Sticky Barb,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Electric-type moves.,sticky-barb,"Held: Holder takes 1/8 (12.5%) its max HP at the end of each turn. When the holder is hit by a contact move, the attacking Pokémon takes 1/8 its max HP in damage and receive the item if not holding one.",
278,Power Bracer,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Grass-type moves.,power-bracer,"Held: Holder gains 4 Attack effort values, but has halved Speed in battle.",
279,Power Belt,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Ice-type moves.,power-belt,"Held: Holder gains 4 Defense effort values, but has halved Speed in battle.",
280,Power Lens,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Fighting-type moves.,power-lens,"Held: Holder gains 4 Special Attack effort values, but has halved Speed in battle.",
281,Power Band,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Poison-type moves.,power-band,"Held: Holder gains 4 Special Defense effort values, but has halved Speed in battle.",
282,Power Anklet,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Ground-type moves.,power-anklet,"Held: Holder gains 4 Speed effort values, but has halved Speed in battle.",
283,Power Weight,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Flying-type moves.,power-weight,"Held: Holder gains 4 HP effort values, but has halved Speed in battle.",
284,Shed Shell,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Psychic-type moves.,shed-shell,Held: Holder can bypass all trapping effects and switch out. Multi-turn moves still cannot be switched out of.,
285,Big Root,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Bug-type moves.,big-root,"Held: Increases HP recovered from draining moves, Ingrain, and Aqua Ring by 3/10 (30%).",
286,Choice Specs,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Rock-type moves.,choice-specs,"Held: Increases Special Attack by 50%, but restricts the holder to only one move.",
287,Flame Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Ghost-type moves.,flame-plate,Held: Fire-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fire.,
288,Splash Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Dragon-type moves.,splash-plate,Held: Water-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Water.,
289,Zap Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Dark-type moves.,zap-plate,Held: Electric-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Electric.,
290,Meadow Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Steel-type moves.,meadow-plate,Held: Grass-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Grass.,
291,Icicle Plate,An item to be held by a Pokémon. This exotic-smelling incense boosts the power of Psychic-type moves.,icicle-plate,Held: Ice-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Ice.,
292,Fist Plate,An item to be held by a Pokémon. This exotic-smelling incense boosts the power of Rock-type moves.,fist-plate,Held: Fighting-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fighting.,
293,Toxic Plate,An item to be held by a Pokémon. This exotic-smelling incense makes the holder bloated and slow moving.,toxic-plate,Held: Posion-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Posion.,
294,Earth Plate,An item to be held by a Pokémon. This incense has a curious aroma that boosts the power of Water-type moves.,earth-plate,Held: Ground-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Ground.,
295,Sky Plate,An item to be held by a Pokémon. This exotic-smelling incense boosts the power of Grass-type moves.,sky-plate,Held: Flying-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Flying.,
296,Mind Plate,An item to be held by a Pokémon. It doubles any prize money received if the holding Pokémon joins a battle.,mind-plate,Held: Psychic-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Psychic.,
297,Insect Plate,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the head of the party.,insect-plate,Held: Bug-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Bug.,
298,Stone Plate,A protective item of some sort. It is extremely stiff and heavy. It’s loved by a certain Pokémon.,stone-plate,Held: Rock-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Rock.,
299,Spooky Plate,A box packed with a tremendous amount of electric energy. It’s loved by a certain Pokémon.,spooky-plate,Held: Ghost-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Ghost.,
300,Draco Plate,A box packed with a tremendous amount of magma energy. It’s loved by a certain Pokémon.,draco-plate,Held: Dragon-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Dragon.,
301,Dread Plate,A transparent device overflowing with dubious data. Its producer is unknown.,dread-plate,Held: Dark-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Dark.,
302,Iron Plate,A cloth imbued with horrifyingly strong spiritual energy. It’s loved by a certain Pokémon.,iron-plate,Held: Steel-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Steel.,
303,Odd Incense,An item to be held by a Pokémon. This sharply hooked claw increases the holder’s critical-hit ratio.,odd-incense,Held: Psychic-Type moves from holder do 20% more damage. Breeding: Mr. Mime begets a Mime Jr. Egg.,
304,Rock Incense,"An item to be held by a Pokémon. When the holder successfully inflicts damage, the target may also flinch.",rock-incense,Held: Rock-Type moves from holder do 20% more damage. Breeding: Sudowoodo begets a Bonsly Egg.,
305,Full Incense,"The user is roused, and its Attack and Sp. Atk stats increase.",full-incense,Held: Holder moves last in its priority bracket. Breeding: Snorlax begets a Munchlax Egg.,
306,Wave Incense,The user slashes the target with huge sharp claws.,wave-incense,Held: Water-Type moves from holder do 20% more damage. Breeding: Mantine begets a Mantyke Egg.,
307,Rose Incense,The user materializes an odd psychic wave to attack the target. This attack does physical damage.,rose-incense,Held: Grass-Type moves from holder do 20% more damage. Breeding: Roselia or Roserade beget a Budew Egg.,
308,Luck Incense,The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats.,luck-incense,Held: Doubles the money earned from a battle. Does not stack with Amulet Coin. Breeding: Chansey and Blissey beget a Happiny Egg.,
309,Pure Incense,"The target is scared off, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",pure-incense,Prevents wild encounters of level lower than your party's lead Pokémon. Breeding: Chimecho begets a Chingling Egg.,
310,Protector,A move that leaves the target badly poisoned. Its poison damage worsens every turn.,protector,Traded on a Rhydon: Holder evolves into Rhyperior.,
311,Electirizer,The user summons a hailstorm lasting five turns. It damages all Pokémon except the Ice type.,electirizer,Traded on an Electabuzz: Holder evolves into Electivire.,
312,Magmarizer,"The user tenses its muscles to bulk up its body, raising both its Attack and Defense stats.",magmarizer,Traded on a Magmar: Holder evolves into Magmortar.,
313,Dubious Disc,The user drenches the target in a special poisonous liquid. This move’s power is doubled if the target is poisoned.,dubious-disc,Traded on a Porygon2: Holder evolves into Porygon-Z.,
314,Reaper Cloth,A unique attack that varies in type depending on the Pokémon using it.,reaper-cloth,Traded on a Dusclops: Holder evolves into Dusknoir.,
315,Razor Claw,"The user intensifies the sun for five turns, powering up Fire-type moves. This also weakens the power of Water-type moves.",razor-claw,Held: Raises the holder's critical hit ratio by one stage. Held by a Sneasel while levelling up at night: Holder evolves into Weavile.,
316,Razor Fang,The target is taunted into a rage that allows it to use only attack moves for three turns.,razor-fang,Held: Damaging moves gain a 10% chance to make their target flinch. Held by a Gligar while levelling up: Holder evolves into Gliscor.,
317,TM01,The target is struck with an icy-cold beam of energy. This may also leave the target frozen.,tm01,Teaches Hone Claws to a compatible Pokémon. (Gen IV & III: Focus Punch Gen II: DynamicPunch Gen I: Mega Punch),
318,TM02,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.,tm02,Teaches Dragon Claw to a compatible Pokémon. (Gen II: Headbutt Gen I: Razor Wind),
319,TM03,The target is attacked with a powerful beam. The user can’t move on the next turn.,tm03,Teaches Psyshock to a compatible Pokémon. (Gen IV & III: Water Pulse Gen II: Curse Gen I: Swords Dance),
320,TM04,A wondrous wall of light is put up to reduce damage from special attacks for five turns.,tm04,Teaches Calm Mind to a compatible Pokémon. (Gen II: Rollout Gen I: Whirlwind),
321,TM05,Enables the user to evade all attacks. Its chance of failing rises if it is used in succession.,tm05,Teaches Roar to a compatible Pokémon. (Gen I: Mega Kick),
322,TM06,"The user summons a heavy rain that falls for five turns, powering up Water-type moves. It lowers the power of Fire-type moves.",tm06,Teaches Toxic to a compatible Pokémon.,
323,TM07,The user lands and rests its body. It restores the user’s HP by up to half of its max HP.,tm07,Teaches Hail to a compatible Pokémon. (Gen II: Zap Cannon Gen I: Horn Drill),
324,TM08,The user creates a protective field that prevents status conditions for five turns.,tm08,Teaches Bulk Up to a compatible Pokémon. (Gen II: Rock Smash Gen I: Body Slam),
325,TM09,This full-power attack grows more powerful the less the user likes its Trainer.,tm09,Teaches Venoshock to a compatible Pokémon. (Gen IV & III: Bullet Seed Gen II: Psych Up Gen I: Take Down),
326,TM10,"In this two-turn attack, the user gathers light, then blasts a bundled beam on the next turn.",tm10,Teaches Hidden Power to a compatible Pokémon. (Gen I: Double-Edge),
327,TM11,The user throws a stone or similar projectile to attack an opponent. A flying Pokémon will fall to the ground when it’s hit.,tm11,Teaches Sunny Day to a compatible Pokémon. (Gen I: BubbleBeam),
328,TM12,A strong electric blast crashes down on the target. This may also leave the target with paralysis.,tm12,Teaches Taunt to a compatible Pokémon. (Gen II: Sweet Scent Gen I: Water Gun),
329,TM13,A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis.,tm13,Teaches Ice Beam to a compatible Pokémon. (Gen II: Snore),
330,TM14,The user sets off an earthquake that strikes every Pokémon around it.,tm14,Teaches Blizzard to a compatible Pokémon.,
331,TM15,This full-power attack grows more powerful the more the user likes its Trainer.,tm15,Teaches Hyper Beam to a compatible Pokémon.,
332,TM16,The user drains the target’s blood. The user’s HP is restored by half the damage taken by the target.,tm16,Teaches Light Screen to a compatible Pokémon. (Gen II: Icy Wind Gen I: Pay Day),
333,TM17,The target is hit by a strong telekinetic force. This may also lower the target’s Sp. Def stat.,tm17,Teaches Protect to a compatible Pokémon. (Gen I: Submission),
334,TM18,The user hurls a shadowy blob at the target. This may also lower the target’s Sp. Def stat.,tm18,Teaches Rain Dance to a compatible Pokémon. (Gen I: Counter),
335,TM19,"The user attacks with a swift chop. It can also break barriers, such as Light Screen and Reflect.",tm19,Teaches Telekinesis to a compatible Pokémon. (Gen IV & III & II: Giga Drain Gen I: Seismic Toss),
336,TM20,"By moving rapidly, the user makes illusory copies of itself to raise its evasiveness.",tm20,Teaches Safeguard to a compatible Pokémon. (Gen II: Endure Gen I: Rage),
337,TM21,A wondrous wall of light is put up to reduce damage from physical attacks for five turns.,tm21,Teaches Frustration to a compatible Pokémon. (Gen I: Mega Drain),
338,TM22,The user strikes everything around it by swamping the area with a giant sludge wave. This may also poison those hit.,tm22,Teaches SolarBeam to a compatible Pokémon.,
339,TM23,The target is scorched with an intense blast of fire. This may also leave the target with a burn.,tm23,Teaches Smack Down to a compatible Pokémon. (Gen IV & III & II: Iron Tail Gen I: Dragon Rage),
340,TM24,Unsanitary sludge is hurled at the target. This may also poison the target.,tm24,Teaches Thunderbolt to a compatible Pokémon. (Gen II: DragonBreath),
341,TM25,"A five-turn sandstorm is summoned to hurt all combatants except the Rock, Ground, and Steel types. Raises the Sp. Def of Rock types.",tm25,Teaches Thunder to a compatible Pokémon.,
342,TM26,The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.,tm26,Teaches Earthquake to a compatible Pokémon.,
343,TM27,Boulders are hurled at the target. This also lowers the target’s Speed stat by preventing its movement.,tm27,Teaches Return to a compatible Pokémon. (Gen I: Fissure),
344,TM28,"The user confounds the target with speed, then slashes. This attack never misses.",tm28,Teaches Dig to a compatible Pokémon.,
345,TM29,"The user torments and enrages the target, making it incapable of using the same move twice in a row.",tm29,Teaches Psychic to a compatible Pokémon.,
346,TM30,"This attack move doubles its power if the user is poisoned or burned, or if it has paralysis.",tm30,Teaches Shadow Ball to a compatible Pokémon. (Gen I: Teleport),
347,TM31,"Cloaking itself in flame, the user attacks. Then, building up more power, the user raises its Speed stat.",tm31,Teaches Brick Break to a compatible Pokémon. (Gen II: Mud-Slap Gen I: Mimic),
