id,identifier,name,flavor_text,generation_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id
209,spark,Spark,The user throws an electrically charged tackle at the target. This may also leave the target with paralysis.,2,13,65,20,100,0,10,2,7,30,1,4,5
210,fury-cutter,Fury Cutter,The target is slashed with scythes or claws. This attack becomes more powerful if it hits in succession.,2,7,40,20,95,0,10,2,120,,1,17,7
211,steel-wing,Steel Wing,The target is hit with wings of steel. This may also raise the user’s Defense stat.,2,9,70,25,90,0,10,2,139,10,1,12,5
212,mean-look,Mean Look,The user pins the target with a dark arresting look. The target becomes unable to flee.,2,1,,5,,0,10,1,107,,2,18,10
213,attract,Attract,If it is the opposite gender of the user the target becomes infatuated and less likely to attack.,2,1,,15,100,0,10,1,121,,3,18,19
214,sleep-talk,Sleep Talk,While it is asleep the user randomly uses one of the moves it knows.,2,1,,10,,0,7,1,98,,3,17,5
215,heal-bell,Heal Bell,The user makes a soothing bell chime to heal the status conditions of all the party Pokémon.,2,1,,5,,0,13,1,103,,2,28,8
216,return,Return,This full-power attack grows more powerful the more the user likes its Trainer.,2,1,,20,100,0,10,2,122,,3,13,17
217,present,Present,The user attacks by giving the target a gift with a hidden trap. It restores HP sometimes however.,2,1,,15,90,0,10,2,123,,3,17,16
218,frustration,Frustration,This full-power attack grows more powerful the less the user likes its Trainer.,2,1,,20,100,0,10,2,124,,3,13,18
219,safeguard,Safeguard,The user creates a protective field that prevents status conditions for five turns.,2,1,,25,,0,4,1,125,,2,15,13
220,pain-split,Pain Split,The user adds its HP to the target’s HP then equally shares the combined HP with the target.,2,1,,20,,0,10,1,92,,4,4,10
221,sacred-fire,Sacred Fire,The target is razed with a mystical fire of great intensity. This may also leave the target with a burn.,2,10,100,5,95,0,10,2,126,50,2,1,22
222,magnitude,Magnitude,The user attacks everything around it with a ground-shaking quake. Its power varies.,2,5,,30,100,0,9,2,127,,5,11,18
223,dynamic-punch,Dynamic Punch,The user punches the target with full concentrated power. This confuses the target if it hits.,2,2,100,5,50,0,10,2,77,100,1,10,18
224,megahorn,Megahorn,Using its tough and impressive horn the user rams into the target with no letup.,2,7,120,10,85,0,10,2,1,,1,12,18
225,dragon-breath,Dragon Breath,The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis.,2,16,60,20,100,0,10,3,7,30,1,5,17
226,baton-pass,Baton Pass,The user switches places with a party Pokémon in waiting and passes along any stat changes.,2,1,,40,,0,7,1,128,,3,18,16
227,encore,Encore,The user compels the target to keep using the move it encored for three turns.,2,1,,5,100,0,10,1,91,,3,18,20
228,pursuit,Pursuit,The power of this attack move is doubled if it’s used on a target that’s switching out of battle.,2,17,40,20,100,0,10,2,129,,4,14,20
229,rapid-spin,Rapid Spin,A spin attack that can also eliminate such moves as Bind Wrap Leech Seed and Spikes.,2,1,50,40,100,0,10,2,130,100,1,16,17
230,sweet-scent,Sweet Scent,A sweet scent that harshly lowers opposing Pokémon’s evasiveness.,2,1,,20,100,0,11,1,25,,3,5,19
231,iron-tail,Iron Tail,The target is slammed with a steel-hard tail. This may also lower the target’s Defense stat.,2,9,100,15,75,0,10,2,70,30,1,4,18
232,metal-claw,Metal Claw,The target is raked with steel claws. This may also raise the user’s Attack stat.,2,9,50,35,95,0,10,2,140,10,1,1,18
233,vital-throw,Vital Throw,The user attacks last. In return this throw move never misses.,2,2,70,10,,-1,10,2,79,,1,31,2
234,morning-sun,Morning Sun,The user restores its own HP. The amount of HP regained varies with the weather.,2,1,,5,,0,7,1,133,,2,25,8
235,synthesis,Synthesis,The user restores its own HP. The amount of HP regained varies with the weather.,2,12,,5,,0,7,1,133,,4,25,8
236,moonlight,Moonlight,The user restores its own HP. The amount of HP regained varies with the weather.,2,18,,5,,0,7,1,133,,2,25,8
237,hidden-power,Hidden Power,A unique attack that varies in type depending on the Pokémon using it.,2,1,60,15,100,0,10,3,136,,4,17,23
238,cross-chop,Cross Chop,The user delivers a double chop with its forearms crossed. Critical hits land more easily.,2,2,100,5,80,0,10,2,44,,1,2,18
239,twister,Twister,The user whips up a vicious tornado to tear at the opposing Pokémon. This may also make them flinch.,2,16,40,20,100,0,11,3,147,20,1,21,5
240,rain-dance,Rain Dance,The user summons a heavy rain that falls for five turns powering up Water-type moves. It lowers the power of Fire-type moves.,2,11,,5,,0,12,1,137,,5,11,13
241,sunny-day,Sunny Day,The user intensifies the sun for five turns powering up Fire-type moves. It lowers the power of Water-type moves.,2,10,,5,,0,12,1,138,,2,11,13
242,crunch,Crunch,The user crunches up the target with sharp fangs. This may also lower the target’s Defense stat.,2,17,80,15,100,0,10,2,70,20,5,4,18
243,mirror-coat,Mirror Coat,A retaliation move that counters any special attack inflicting double the damage taken.,2,14,,20,100,-5,1,3,145,,2,16,15
244,psych-up,Psych Up,The user hypnotizes itself into copying any stat change made by the target.,2,1,,10,,0,10,1,144,,4,12,11
245,extreme-speed,Extreme Speed,The user charges the target at blinding speed. This move always goes first.,2,1,80,5,100,2,10,2,104,,1,30,1
246,ancient-power,Ancient Power,The user attacks with a prehistoric power. This may also raise all the user’s stats at once.,2,6,60,5,100,0,10,3,141,10,5,32,18
247,shadow-ball,Shadow Ball,The user hurls a shadowy blob at the target. This may also lower the target’s Sp. Def stat.,2,8,80,15,100,0,10,3,73,20,4,22,17
248,future-sight,Future Sight,Two turns after this move is used a hunk of psychic energy attacks the target.,2,14,120,10,100,0,10,3,149,,4,24,17
249,rock-smash,Rock Smash,The user attacks with a punch. This may also lower the target’s Defense stat.,2,2,40,15,100,0,10,2,70,50,5,29,18
250,whirlpool,Whirlpool,The user traps the target in a violent swirling whirlpool for four to five turns.,2,11,35,15,85,0,10,3,262,100,2,24,21
251,beat-up,Beat Up,The user gets all party Pokémon to attack the target. The more party Pokémon the greater the number of attacks.,2,17,,10,100,0,10,2,155,,4,14,7
252,fake-out,Fake Out,This attack hits first and makes the target flinch. It only works the first turn the user is in battle.,3,1,40,10,100,3,10,2,159,100,3,23,17
253,uproar,Uproar,The user attacks in an uproar for three turns. During that time no Pokémon can fall asleep.,3,1,90,10,100,0,8,3,160,,3,21,10
254,stockpile,Stockpile,The user charges up power and raises both its Defense and Sp. Def stats. The move can be used three times.,3,1,,20,,0,7,1,161,,5,16,11
255,spit-up,Spit Up,The power stored using the move Stockpile is released at once in an attack. The more power is stored the greater the move’s power.,3,1,,10,100,0,10,3,162,,5,1,18
256,swallow,Swallow,The power stored using the move Stockpile is absorbed by the user to heal its HP. Storing more power heals more HP.,3,1,,10,,0,7,1,163,,5,32,8
257,heat-wave,Heat Wave,The user attacks by exhaling hot breath on the opposing Pokémon. This may also leave those Pokémon with a burn.,3,10,95,10,90,0,11,3,5,10,2,1,17
258,hail,Hail,The user summons a hailstorm lasting five turns. It damages all Pokémon except the Ice type.,3,15,,10,,0,12,1,165,,2,5,13
259,torment,Torment,The user torments and enrages the target making it incapable of using the same move twice in a row.,3,17,,15,100,0,10,1,166,,5,18,16
260,flatter,Flatter,Flattery is used to confuse the target. However this also raises the target’s Sp. Atk stat.,3,17,,15,100,0,10,1,167,,4,18,19
261,will-o-wisp,Will-O-Wisp,The user shoots a sinister bluish-white flame at the target to inflict a burn.,3,10,,15,85,0,10,1,168,,2,4,17
262,memento,Memento,The user faints when using this move. In return this harshly lowers the target’s Attack and Sp. Atk stats.,3,17,,10,100,0,10,1,169,,5,7,9
263,facade,Facade,This attack move doubles its power if the user is poisoned burned or paralyzed.,3,1,70,20,100,0,10,2,170,,3,28,15
264,focus-punch,Focus Punch,The user focuses its mind before launching a punch. This move fails if the user is hit before it is used.,3,2,150,20,100,-3,10,2,171,,5,31,6
265,smelling-salts,Smelling Salts,This attack’s power is doubled when used on a target with paralysis. This also cures the target’s paralysis however.,3,1,70,10,100,0,10,2,172,,4,9,16
266,follow-me,Follow Me,The user draws attention to itself making all targets take aim only at the user.,3,1,,20,,2,7,1,173,,3,24,14
267,nature-power,Nature Power,This attack makes use of nature’s power. Its effects vary depending on the user’s environment.,3,1,,20,,0,10,1,174,,2,11,14
268,charge,Charge,The user boosts the power of the Electric move it uses on the next turn. This also raises the user’s Sp. Def stat.,3,13,,20,,0,7,1,175,,4,12,11
269,taunt,Taunt,The target is taunted into a rage that allows it to use only attack moves for three turns.,3,17,,20,100,0,10,1,176,,4,18,16
270,helping-hand,Helping Hand,The user assists an ally by boosting the power of that ally’s attack.,3,1,,20,,5,3,1,177,,4,18,20
271,trick,Trick,The user catches the target off guard and swaps its held item with its own.,3,14,,10,100,0,10,1,178,,4,12,12
272,role-play,Role Play,The user mimics the target completely copying the target’s natural Ability.,3,14,,10,,0,10,1,179,,3,20,23
273,wish,Wish,One turn after this move is used the user’s or its replacement’s HP is restored by half the user’s max HP.,3,1,,10,,0,7,1,180,,3,24,8
274,assist,Assist,The user hurriedly and randomly uses a move among those known by ally Pokémon.,3,1,,20,,0,7,1,181,,3,25,14
275,ingrain,Ingrain,The user lays roots that restore its HP on every turn. Because it’s rooted it can’t switch out.,3,12,,20,,0,7,1,182,,4,15,21
276,superpower,Superpower,The user attacks the target with great power. However this also lowers the user’s Attack and Defense stats.,3,2,120,5,100,0,10,2,183,100,5,3,18
277,magic-coat,Magic Coat,A barrier reflects back to the target moves like Leech Seed and moves that damage status.,3,14,,15,,4,7,1,184,,2,15,15
278,recycle,Recycle,The user recycles a held item that has been used in battle so it can be used again.,3,1,,10,,0,7,1,185,,4,17,12
279,revenge,Revenge,This attack move’s power is doubled if the user has been hurt by the opponent in the same turn.,3,2,60,10,100,-4,10,2,186,,5,31,15
280,brick-break,Brick Break,The user attacks with a swift chop. It can also break barriers such as Light Screen and Reflect.,3,2,75,15,100,0,10,2,187,,1,4,5
281,yawn,Yawn,The user lets loose a huge yawn that lulls the target into falling asleep on the next turn.,3,1,,10,,0,10,1,188,,3,18,19
282,knock-off,Knock Off,The user slaps down the target’s held item and that item can’t be used in that battle. The move does more damage if the target has a held item.,3,17,65,20,100,0,10,2,189,,4,4,5
283,endeavor,Endeavor,This attack move cuts down the target’s HP to equal the user’s HP.,3,1,,5,100,0,10,2,190,,5,28,15
284,eruption,Eruption,The user attacks opposing Pokémon with explosive fury. The lower the user’s HP the lower the move’s power.,3,10,150,5,100,0,11,3,191,,2,26,18
285,skill-swap,Skill Swap,The user employs its psychic power to exchange Abilities with the target.,3,14,,10,,0,10,1,192,,4,20,12
286,imprison,Imprison,If opposing Pokémon know any move also known by the user they are prevented from using it.,3,14,,10,,0,7,1,193,,4,33,20
287,refresh,Refresh,The user rests to cure itself of poisoning a burn or paralysis.,3,1,,20,,0,7,1,194,,3,32,8
288,grudge,Grudge,If the user faints the user’s grudge fully depletes the PP of the opponent’s move that knocked it out.,3,8,,5,,0,7,1,195,,5,26,10
289,snatch,Snatch,The user steals the effects of any attempts to use a healing or stat-changing move.,3,17,,10,,4,7,1,196,,4,14,12
290,secret-power,Secret Power,The additional effects of this attack depend upon where it was used.,3,1,70,20,100,0,10,2,198,30,4,29,14
291,dive,Dive,Diving on the first turn the user floats up and attacks on the next turn.,3,11,80,10,100,0,10,2,256,,2,16,6
292,arm-thrust,Arm Thrust,The user lets loose a flurry of open-palmed arm thrusts that hit two to five times in a row.,3,2,15,20,100,0,10,2,30,,5,10,7
293,camouflage,Camouflage,The user’s type is changed depending on its environment such as at water’s edge in grass or in a cave.,3,1,,20,,0,7,1,214,,4,2,13
294,tail-glow,Tail Glow,The user stares at flashing lights to focus its mind drastically raising its Sp. Atk stat.,3,7,,20,,0,7,1,322,,2,32,11
295,luster-purge,Luster Purge,The user lets loose a damaging burst of light. This may also lower the target’s Sp. Def stat.,3,14,70,5,100,0,10,3,73,50,4,9,22
296,mist-ball,Mist Ball,A mist-like flurry of down envelops and damages the target. This may also lower the target’s Sp. Atk stat.,3,14,70,5,100,0,10,3,72,50,4,4,22
297,feather-dance,Feather Dance,The user covers the target’s body with a mass of down that harshly lowers its Attack stat.,3,3,,15,100,0,10,1,59,,2,28,19
298,teeter-dance,Teeter Dance,The user performs a wobbly dance that confuses the Pokémon around it.,3,1,,20,100,0,9,1,200,,3,6,14
299,blaze-kick,Blaze Kick,The user launches a kick that lands a critical hit more easily. This may also leave the target with a burn.,3,10,85,10,90,0,10,2,201,10,2,1,17
300,mud-sport,Mud Sport,The user kicks up mud on the battlefield. This weakens Electric-type moves for five turns.,3,5,,15,,0,12,1,202,,3,1,13
301,ice-ball,Ice Ball,The user attacks the target for five turns. The move’s power increases each time it hits.,3,15,30,20,90,0,10,2,118,,2,24,7
302,needle-arm,Needle Arm,The user attacks by wildly swinging its thorny arms. This may also make the target flinch.,3,12,60,15,100,0,10,2,32,30,4,4,5
303,slack-off,Slack Off,The user slacks off restoring its own HP by up to half of its max HP.,3,1,,10,,0,7,1,33,,3,26,8
304,hyper-voice,Hyper Voice,The user lets loose a horribly echoing shout with the power to inflict damage.,3,1,90,10,100,0,11,3,1,,1,5,5
305,poison-fang,Poison Fang,The user bites the target with toxic fangs. This may also leave the target badly poisoned.,3,4,50,15,100,0,10,2,203,50,4,33,4
306,crush-claw,Crush Claw,The user slashes the target with hard and sharp claws. This may also lower the target’s Defense stat.,3,1,75,10,95,0,10,2,70,50,1,4,5
307,blast-burn,Blast Burn,The target is razed by a fiery explosion. The user can’t move on the next turn.,3,10,150,5,90,0,10,3,81,,2,6,22
308,hydro-cannon,Hydro Cannon,The target is hit with a watery blast. The user can’t move on the next turn.,3,11,150,5,90,0,10,3,81,,2,6,22
309,meteor-mash,Meteor Mash,The target is hit with a hard punch fired like a meteor. This may also raise the user’s Attack stat.,3,9,90,10,90,0,10,2,140,20,1,12,18
310,astonish,Astonish,The user attacks the target while shouting in a startling fashion. This may also make the target flinch.,3,8,30,15,100,0,10,2,32,30,4,9,5
311,weather-ball,Weather Ball,This attack move varies in power and type depending on the weather.,3,1,50,10,100,0,10,3,204,,4,1,4
312,aromatherapy,Aromatherapy,The user releases a soothing scent that heals all status conditions affecting the user’s party.,3,12,,5,,0,13,1,103,,4,28,8
313,fake-tears,Fake Tears,The user feigns crying to fluster the target harshly lowering its Sp. Def stat.,3,17,,20,100,0,10,1,63,,4,28,19
314,air-cutter,Air Cutter,The user launches razor-like wind to slash the opposing Pokémon. Critical hits land more easily.,3,3,60,25,95,0,11,3,44,,1,23,5
315,overheat,Overheat,The user attacks the target at full power. The attack’s recoil harshly lowers the user’s Sp. Atk stat.,3,10,130,5,90,0,10,3,205,100,2,3,22
316,odor-sleuth,Odor Sleuth,Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. This also enables an evasive target to be hit.,3,1,,40,,0,10,1,114,,4,33,20
317,rock-tomb,Rock Tomb,Boulders are hurled at the target. This also lowers the target’s Speed stat by preventing its movement.,3,6,60,15,95,0,10,2,71,100,4,24,2
318,silver-wind,Silver Wind,The target is attacked with powdery scales blown by the wind. This may also raise all the user’s stats.,3,7,60,5,100,0,10,3,141,10,2,32,4
319,metal-sound,Metal Sound,A horrible sound like scraping metal harshly lowers the target’s Sp. Def stat.,3,9,,40,85,0,10,1,63,,4,5,10
320,grass-whistle,Grass Whistle,The user plays a pleasant melody that lulls the target into a deep sleep.,3,12,,15,55,0,10,1,2,,4,5,19
321,tickle,Tickle,The user tickles the target into laughing reducing its Attack and Defense stats.,3,1,,20,100,0,10,1,206,,3,33,19
322,cosmic-power,Cosmic Power,The user absorbs a mystical power from space to raise its Defense and Sp. Def stats.,3,14,,20,,0,7,1,207,,1,32,11
323,water-spout,Water Spout,The user spouts water to damage opposing Pokémon. The lower the user’s HP the lower the move’s power.,3,11,150,5,100,0,11,3,191,,2,26,22
324,signal-beam,Signal Beam,The user attacks with a sinister beam of light. This may also confuse the target.,3,7,75,15,100,0,10,3,77,10,2,21,4
325,shadow-punch,Shadow Punch,The user throws a punch from the shadows. This attack never misses.,3,8,60,20,,0,10,2,18,,4,27,17
326,extrasensory,Extrasensory,The user attacks with an odd unseeable power. This may also make the target flinch.,3,14,80,20,100,0,10,3,32,10,1,4,17
327,sky-uppercut,Sky Uppercut,The user attacks the target with an uppercut thrown skyward with force.,3,2,85,15,90,0,10,2,208,,1,23,17
328,sand-tomb,Sand Tomb,The user traps the target inside a harshly raging sandstorm for four to five turns.,3,5,35,15,85,0,10,2,43,100,4,24,21
329,sheer-cold,Sheer Cold,The target faints instantly. It’s less likely to hit the target if it’s used by Pokémon other than Ice types.,3,15,,5,30,0,10,3,39,,2,14,9
330,muddy-water,Muddy Water,The user attacks by shooting muddy water at the opposing Pokémon. This may also lower their accuracy.,3,11,90,10,85,0,11,3,74,30,5,10,18
331,bullet-seed,Bullet Seed,The user forcefully shoots seeds at the target two to five times in a row.,3,12,25,30,100,0,10,2,30,,1,14,7
332,aerial-ace,Aerial Ace,The user confounds the target with speed then slashes. This attack never misses.,3,3,60,20,,0,10,2,18,,1,27,17
333,icicle-spear,Icicle Spear,The user launches sharp icicles at the target two to five times in a row.,3,15,25,30,100,0,10,2,30,,2,23,7
334,iron-defense,Iron Defense,The user hardens its body’s surface like iron sharply raising its Defense stat.,3,9,,15,,0,7,1,52,,5,15,13
335,block,Block,The user blocks the target’s way with arms spread wide to prevent escape.,3,1,,5,,0,10,1,107,,3,18,13
336,howl,Howl,The user howls loudly to raise its spirit which raises its Attack stat.,3,1,,40,,0,13,1,11,,1,32,11
337,dragon-claw,Dragon Claw,The user slashes the target with huge sharp claws.,3,16,80,15,100,0,10,2,1,,1,23,17
338,frenzy-plant,Frenzy Plant,The user slams the target with an enormous tree. The user can’t move on the next turn.,3,12,150,5,90,0,10,3,81,,1,6,22
339,bulk-up,Bulk Up,The user tenses its muscles to bulk up its body raising both its Attack and Defense stats.,3,2,,20,,0,7,1,209,,2,32,11
340,bounce,Bounce,The user bounces up high then drops on the target on the second turn. This may also leave the target with paralysis.,3,3,85,5,85,0,10,2,264,30,3,15,6
341,mud-shot,Mud Shot,The user attacks by hurling a blob of mud at the target. This also lowers the target’s Speed stat.,3,5,55,15,95,0,10,3,71,100,5,5,2
342,poison-tail,Poison Tail,The user hits the target with its tail. This may also poison the target. Critical hits land more easily.,3,4,50,25,100,0,10,2,210,10,4,33,4
343,covet,Covet,The user endearingly approaches the target then steals the target’s held item.,3,1,60,25,100,0,10,2,106,,3,20,12
344,volt-tackle,Volt Tackle,The user electrifies itself and charges the target. This also damages the user quite a lot. This attack may leave the target with paralysis.,3,13,120,15,100,0,10,2,263,10,1,3,22
345,magical-leaf,Magical Leaf,The user scatters curious leaves that chase the target. This attack never misses.,3,12,60,20,,0,10,3,18,,2,27,17
346,water-sport,Water Sport,The user soaks the battlefield with water. This weakens Fire-type moves for five turns.,3,11,,15,,0,12,1,211,,3,1,13
347,calm-mind,Calm Mind,The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats.,3,14,,20,,0,7,1,212,,4,16,11
348,leaf-blade,Leaf Blade,The user handles a sharp leaf like a sword and attacks by cutting its target. Critical hits land more easily.,3,12,90,15,100,0,10,2,44,,1,2,17
349,dragon-dance,Dragon Dance,The user vigorously performs a mystic powerful dance that raises its Attack and Speed stats.,3,16,,20,,0,7,1,213,,1,32,11
350,rock-blast,Rock Blast,The user hurls hard rocks at the target. Two to five rocks are launched in a row.,3,6,25,10,90,0,10,2,30,,5,12,7
351,shock-wave,Shock Wave,The user strikes the target with a quick jolt of electricity. This attack never misses.,3,13,60,20,,0,10,3,18,,1,27,17
352,water-pulse,Water Pulse,The user attacks the target with a pulsing blast of water. This may also confuse the target.,3,11,60,20,100,0,10,3,77,20,2,21,17
353,doom-desire,Doom Desire,Two turns after this move is used a concentrated bundle of light blasts the target. ,3,9,140,5,100,0,10,3,149,,1,24,17
354,psycho-boost,Psycho Boost,The user attacks the target at full power. The attack’s recoil harshly lowers the user’s Sp. Atk stat.,3,14,140,5,90,0,10,3,205,100,4,3,22
355,roost,Roost,The user lands and rests its body. It restores the user’s HP by up to half of its max HP.,4,3,,10,,0,7,1,215,,1,,8
356,gravity,Gravity,Enables Flying-type Pokémon or Pokémon with the Levitate Ability to be hit by Ground-type moves. Flying moves can’t be used.,4,14,,5,,0,12,1,216,,2,,13
357,miracle-eye,Miracle Eye,Enables a Dark-type target to be hit by Psychic-type attacks. This also enables an evasive target to be hit.,4,14,,40,,0,10,1,217,,3,,20
358,wake-up-slap,Wake-Up Slap,This attack inflicts big damage on a sleeping target. This also wakes the target up however.,4,2,70,10,100,0,10,2,218,,4,,16
359,hammer-arm,Hammer Arm,The user swings and hits with its strong heavy fist. It lowers the user’s Speed however.,4,2,100,10,90,0,10,2,219,100,1,,2
360,gyro-ball,Gyro Ball,The user tackles the target with a high-speed spin. The slower the user compared to the target the greater the move’s power.,4,9,,5,100,0,10,2,220,,2,,15
361,healing-wish,Healing Wish,The user faints. In return the Pokémon taking its place will have its HP restored and status conditions cured.,4,14,,10,,0,7,1,221,,3,,8
362,brine,Brine,If the target’s HP is half or less this attack will hit with double the power.,4,11,65,10,100,0,10,3,222,,4,,4
363,natural-gift,Natural Gift,The user draws power to attack by using its held Berry. The Berry determines the move’s type and power.,4,1,,15,100,0,10,2,223,,1,,18
364,feint,Feint,This attack hits a target using a move such as Protect or Detect. This also lifts the effects of those moves.,4,1,30,10,100,2,10,2,224,,2,,16
365,pluck,Pluck,The user pecks the target. If the target is holding a Berry the user eats it and gains its effect.,4,3,60,20,100,0,10,2,225,,3,,12
366,tailwind,Tailwind,The user whips up a turbulent whirlwind that ups the Speed stat of the user and its allies for four turns.,4,3,,15,,0,4,1,226,,4,,1
367,acupressure,Acupressure,The user applies pressure to stress points sharply boosting one of its or its allies’ stats.,4,1,,30,,0,5,1,227,,1,,11
368,metal-burst,Metal Burst,The user retaliates with much greater force against the opponent that last inflicted damage on it.,4,9,,10,100,0,1,2,228,,2,,15
369,u-turn,U-turn,After making its attack the user rushes back to switch places with a party Pokémon in waiting.,4,7,70,20,100,0,10,2,229,,3,,16
370,close-combat,Close Combat,The user fights the target up close without guarding itself. This also lowers the user’s Defense and Sp. Def stats.,4,2,120,5,100,0,10,2,230,100,4,,22
371,payback,Payback,The user stores power then attacks. If the user moves after the target this attack’s power will be doubled.,4,17,50,10,100,0,10,2,231,,1,,6
372,assurance,Assurance,If the target has already taken some damage in the same turn this attack’s power is doubled.,4,17,60,10,100,0,10,2,232,,2,,15
373,embargo,Embargo,This move prevents the target from using its held item for five turns. Its Trainer is also prevented from using items on it.,4,17,,15,100,0,10,1,233,,3,,13
374,fling,Fling,The user flings its held item at the target to attack. This move’s power and effects depend on the item.,4,17,,10,100,0,10,2,234,,5,,23
375,psycho-shift,Psycho Shift,Using its psychic power of suggestion the user transfers its status conditions to the target.,4,14,,10,100,0,10,1,235,,1,,16
376,trump-card,Trump Card,The fewer PP this move has the greater its power.,4,1,,5,,0,10,3,236,,1,,21
377,heal-block,Heal Block,For five turns the user prevents the opposing team from using any moves Abilities or held items that recover HP.,4,14,,15,100,0,11,1,237,,3,,13
378,wring-out,Wring Out,The user powerfully wrings the target. The more HP the target has the greater the move’s power.,4,1,,5,100,0,10,3,238,,4,,22
379,power-trick,Power Trick,The user employs its psychic power to switch its Attack stat with its Defense stat.,4,14,,10,,0,7,1,239,,1,,16
380,gastro-acid,Gastro Acid,The user hurls up its stomach acids on the target. The fluid eliminates the effect of the target’s Ability.,4,4,,10,100,0,10,1,240,,2,,13
381,lucky-chant,Lucky Chant,The user chants an incantation toward the sky preventing opposing Pokémon from landing critical hits for five turns.,4,1,,30,,0,4,1,241,,3,,13
382,me-first,Me First,The user cuts ahead of the target to copy and use the target’s intended move with greater power. This move fails if it isn’t used first.,4,1,,20,,0,2,1,242,,3,,1
383,copycat,Copycat,The user mimics the move used immediately before it. The move fails if no other move has been used yet.,4,1,,20,,0,7,1,243,,1,,12
384,power-swap,Power Swap,The user employs its psychic power to switch changes to its Attack and Sp. Atk stats with the target.,4,14,,10,,0,10,1,244,,2,,16
385,guard-swap,Guard Swap,The user employs its psychic power to switch changes to its Defense and Sp. Def stats with the target.,4,14,,10,,0,10,1,245,,3,,16
386,punishment,Punishment,The more the target has powered up with stat changes the greater the move’s power.,4,17,,5,100,0,10,2,246,,4,,23
387,last-resort,Last Resort,This move can be used only after the user has used all the other moves it knows in the battle.,4,1,140,5,100,0,10,2,247,,3,,21
388,worry-seed,Worry Seed,A seed that causes worry is planted on the target. It prevents sleep by making the target’s Ability Insomnia.,4,12,,10,100,0,10,1,248,,2,,19
389,sucker-punch,Sucker Punch,This move enables the user to attack first. This move fails if the target is not readying an attack.,4,17,70,5,100,1,10,2,249,,4,,1
390,toxic-spikes,Toxic Spikes,The user lays a trap of poison spikes at the feet of the opposing team. The spikes will poison opposing Pokémon that switch into battle.,4,4,,20,,0,6,1,250,,4,,13
391,heart-swap,Heart Swap,The user employs its psychic power to switch stat changes with the target.,4,14,,10,,0,10,1,251,,1,,16
392,aqua-ring,Aqua Ring,The user envelops itself in a veil made of water. It regains some HP every turn.,4,11,,20,,0,7,1,252,,2,,8
393,magnet-rise,Magnet Rise,The user levitates using electrically generated magnetism for five turns.,4,13,,10,,0,7,1,253,,3,,13
394,flare-blitz,Flare Blitz,The user cloaks itself in fire and charges the target. This also damages the user quite a lot. This attack may leave the target with a burn.,4,10,120,15,100,0,10,2,254,10,4,,22
395,force-palm,Force Palm,The target is attacked with a shock wave. This may also leave the target with paralysis.,4,2,60,10,100,0,10,2,7,30,1,,18
396,aura-sphere,Aura Sphere,The user lets loose a blast of aura power from deep within its body at the target. This attack never misses.,4,2,80,20,,0,10,3,18,,2,,17
397,rock-polish,Rock Polish,The user polishes its body to reduce drag. This can sharply raise the Speed stat.,4,6,,20,,0,7,1,53,,5,,1
398,poison-jab,Poison Jab,The target is stabbed with a tentacle or arm steeped in poison. This may also poison the target.,4,4,80,20,100,0,10,2,3,30,4,,4
399,dark-pulse,Dark Pulse,The user releases a horrible aura imbued with dark thoughts. This may also make the target flinch.,4,17,80,15,100,0,10,3,32,20,1,,17
400,night-slash,Night Slash,The user slashes the target the instant an opportunity arises. Critical hits land more easily.,4,17,70,15,100,0,10,2,44,,2,,5
401,aqua-tail,Aqua Tail,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.,4,11,90,10,90,0,10,2,1,,3,,5
402,seed-bomb,Seed Bomb,The user slams a barrage of hard-shelled seeds down on the target from above.,4,12,80,15,100,0,10,2,1,,4,,5
403,air-slash,Air Slash,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,4,3,75,15,95,0,10,3,32,30,1,,17
404,x-scissor,X-Scissor,The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors.,4,7,80,15,100,0,10,2,1,,2,,17
405,bug-buzz,Bug Buzz,The user generates a damaging sound wave by vibration. This may also lower the target’s Sp. Def stat.,4,7,90,10,100,0,10,3,73,10,3,,4
406,dragon-pulse,Dragon Pulse,The target is attacked with a shock wave generated by the user’s gaping mouth.,4,16,85,10,100,0,10,3,1,,4,,4
407,dragon-rush,Dragon Rush,The user tackles the target while exhibiting overwhelming menace. This may also make the target flinch.,4,16,100,10,75,0,10,2,32,20,1,,18
408,power-gem,Power Gem,The user attacks with a ray of light that sparkles as if it were made of gemstones.,4,6,80,20,100,0,10,3,1,,2,,5
409,drain-punch,Drain Punch,An energy-draining punch. The user’s HP is restored by half the damage taken by the target.,4,2,75,10,100,0,10,2,4,,2,,20
410,vacuum-wave,Vacuum Wave,The user whirls its fists to send a wave of pure vacuum at the target. This move always goes first.,4,2,40,30,100,1,10,3,104,,4,,1
411,focus-blast,Focus Blast,The user heightens its mental focus and unleashes its power. This may also lower the target’s  Sp. Def stat.,4,2,120,5,70,0,10,3,73,10,1,,17
