[Species]	[Gender]	[Name]	[Surname]	[ID]	[Birthday]	[Birthplace]	[Job]	[Orientation]	[Role]	[Pose]	[Height/Length (cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max Size (cm)]	[Font Color]	[English/Japanese Voice]	[Hito]	[MBTI]	[Loves]	[Hates]	[Description]	[Characteristic]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[Level]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Wooper Quagsire	Male			97441247	24/10/1991																																			
Xerneas	Female	Xenocrates	Edda	79819002	31/12/1951	WOL, Mystery Continent	Death Cocoon Guard	Hetero	Switch	Switch	332	196	153	Xaligraphy #2229bf	Jeannie Tirado/Misono Mei		ENTP																							
Yveltal	Male	Yggdrasil	Edda	73279005	28/06/1964	WOL, Mystery Continent	Life Tree Guard	Hetero	Switch	Switch	594	190	188	Ysgarth #f01610	Christopher Bevins/Daisuke Egawa		INFJ																							
Zangoose	Male			58458566	01/10/1995																																			
Zekrom	Male	Kuro	Ryuuniki	33482560	25/11/1955	WOL, Mystery Continent	Mystery Continent Guard	Hetero	Dom	Top	319	358	120	Benguiat Serif #363740	Jess Merlin/Shigeru Chiba		ESFJ																							
Zeraora	Male	Codd	Branford	36010777	22/09/1990	WOD, USA, Washington, Seattle	President of Nuricom Alliance	Hetero	Dom	Switch	184	84	44	Maximise #0ebcf6	Matthew Mercer/Yuichi Nakamura	Pendulum - The Tempest	ESTP	Pokemon, Science, The Universe	Violence, Conspiracies, Control	Black fur is white, yellow fur is black, no lightning stripes.		128	256	128	4	128	256	100	Electric/Fighting/Steel	Dragon	Adamant	Nurichaku: Human-engineered Nunchucks with Tesla coils on each end. x2 AT in exchange of 1 HP per successful move. ~ Magnetar: A compressed Neutron Star Piece. Immune to Trick Room, and Ground/Rock type moves. ~ Nurimitsu Goudachi: Replaces a move with any Slash move.	Alternator: (100/AT/???) Hits ? times, -1 AT. If it Crits, charges One Inch Punch instead ~ Fumetsu (Parry/???) +1 AT if hit ~ One Inch Punch (999/AT/???) 1 turn charge, cannot Crit ~ Stun Gun Kiai (300/AT/???) Causes paralysis, 1 turn recharge	The Tempest (1/SA/Electric) 1 turn charge, stops time for 10 turns. Paralyses user at the end.	Jeet Kune Do: Can switch move type between Electric, FIghting, and Steel. "Be water, my friend."	Overclocking: Team gets +1 SP if hit. If Codd is hit by Team, they transfer any Speed boost to him.	Way Of The Dragon: Only activates when a Non-Pokemon defeats Codd. Revives with Full HP, all moves cause Paralysis, AC and EV are maxed out.	The Power of Pokemon with the Knowledge of Humanity, Codd achieved spiritual and physical Enlightenment, uses his entire body and electric reserves in every single strike, and never seems to feel the slightest hint of exhaustion.	Biggest pushover in the entire galaxy.	Wife: Sheng Zhandou
Zigzagoon Linoone	Male			44511828	24/09/1982																																			
Zorua Zoroark	Male	Ryan	Cross	15049826	14/07/2008	WOD, USA, California, Sacramento	Vehicle and Transport Management	Bi	Sub	Top	170	75	41	Univers #760404	David Schaufele/Daisuke Namikawa		INTP																							
Zorua Zoroark	Female			20508247	06/03/2005																																			
Zygarde	Unknown	Zephyr	Edda	93030940	18/03/1940	WOL, Mystery Continent	Unknown	Unknown	Unknown	Unknown	587	814	Unknown	Zepplin #056b36	Marc Swint/Takashi Matsuyama		ISFJ																							
