[Species]	[Gender]	[Name]	[Surname]	[ID Number]	[Birthday]	[Birthplace]	[Occupation]	[Orientation]	[Role]	[Position]	[Height/Length (Cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max (Cm)]	[Font Color]	[English/Japanese Voice]	[Characteristic]	[MBTI]	[Loves]	[Hates]	[Description]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[LV]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Duskull Dusclops Dusknoir	Male			P89844420	09/01/1976																50	100	150	64	135	50	0	Ghost	Fighting	Relaxed	Reaper Cloth: +1 EV and AC if held by Dusknoir	Dynamic Punch (100/AT/Fighting) Causes Confusion, might miss ~ Curse (Ghost) -50% HP, Curses foe ~ Destiny Bond (Ghost) If user faints the same turn, attacker faints ~ Shadow Punch (60/AT/Ghost) Never misses	Time's Up (300/AT/Ghost) 33% Recoil	Frisk: Can see all foes's Items	Unyelding Bravery: Teammates can revive once per day without using items.	None	Deceptively bulky and cunning, and doesn't pull back punches.	Can lose his temper when his plans don't work.	
Eevee Espeon	Female	Ai	Nonaka	P27789559	27/05/1997	WOL, Mist Continent	Magnagate Scientist	Hetero	Sub	Bottom	86	26	31	Mercury #e07be9	Kikuko Inoue/Ai Nonaka	Mischievous	ISTP	Studying, Sleeping, Lewding	Not Studying, Not Sleeping, Not Lewding	Eyes and inner ears are magenta instead of blue, white specks on hips.	65	65	65	130	110	90	112	Psychic	Fairy	Lonely	Entercards (14): Summon long-range dungeons from ley lines using 4 cards. ~ Psychium Z: Turns a Psychic move into Shattered Psyche	Dazzling Gleam (80/SA/Fairy) Hits all foes ~ Calm Mind (Psychic) +1 SA and SD ~ Heal Bell (Normal) Heals team from status conditions ~ Noon Sun (Normal) Heals 100% HP at midday, 0% HP at midnight	Ragnarok (300/SA/Psychic) 1 turn charge, causes Confusion.	Magic Bounce: Reflects status moves	Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.	None	Great at long range support and healing, can flee with Entercards.	Without team and items, helpless.	Husband: Kosuke Toriumi
Eevee Espeon	Male	Henry	Trump	H73140339	04/07/2000	WOD, USA, Oregon, Portland	Cipher Investigation	Homo	Sub	Bottom	88	28	22	Sling #f31ec6	Benjamin Diskin/Junya Enoki	Highly Curious	INFJ	Psychic Types, Dating, Eating	Being called Donald, Cipher, Milk	Fores, hinds, crystal, tails and ears are white. Black inner ears and eyes.	75	55	55	110	130	95	57	Psychic	Electric	Relaxed	Shiny Charm: Attracts Shiny Pokemon ~ Cologne Case: Holds Purifying Scents ~ Time Flute: Purifies a Pokemon a little	Calm Mind (Psychic) +1 SA and SD ~ Psychic (90/SA/Psychic) 10% Chance -1 SD to foe ~ Shadow Ball (80/SA/Ghost) 20% Chance -1 SD to foe ~ Zap Cannon (120/SA/Electric) Causes Paralysis, might miss	None	Magic Sync: Reflects status conditions	Food Finder: Tiny Apples spawn much more often.	None	Tricky, can use unexpected moves...	...Poorly.	None
Eevee Flareon	Female			P42750223	22/10/2005																70	130	70	90	110	70	0	Fire	Ghost	Gentle	Choice Band: +1 AT, but can only use one move	Flare Blitz (120/AT/Fire) 33% recoil, 10% burn chance ~ Superpower (120/AT/Fighting) -1 DF and AT ~ Blaze Kick (85/AT/Fire) +1 Crit chance, 10% Burn chance ~ Giga Impact (150/AT/Normal) 1 turn recharge	None	Guts: +1 AT if hit by status condition, immune to Burn	Riled Up: Boosts AT and SA once when hit by an enemy.	None	Hard physical sweeper, can do serious damage under the right conditions.	Insists on using one move only, requires healing and buffs.	
Eevee Flareon	Male			H36183570	25/04/2006	WOL, Grass Continent															60	130	60	100	115	60	0	Fire	Ground	Quiet	Wide Lens: +1 AC	Fire Fang (65/AT/Fire) 10% Burn chance, 10% Flinch chance ~ Iron Tail (100/AT/Steel) 30% -1 DF to foe ~ Flail (???/AT/Normal) Stronger the less HP the user has ~ Lava Plume (80/SA/Fire) 30% Burn chance, hits all foes	None	Flash Rainbow: If hit by (Type), boosts (Type) moves.	Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.	None	Attacks and debuffs at the same time, great mixups.	Bad defense, kinda slow.	
Eevee Glaceon	Female			P64607539	07/09/1979		Unknown														50	70	50	130	50	150	0	Ice	Steel	Naughty	Nevermelt Ice: Boosts Ice moves	Ice Beam (90/SA/Ice) 10% Freeze Chance ~ Attract (Normal) Causes infatuation to opposite gender ~ Light Burst (80/SA/Steel) Hits all foes ~ Arcane Blade (70/SA/Steel) Uses foe's DF, 30% Flinch chance	Diamond Dust (100/SA/Ice Steel) Hits all foes, causes Freeze	Snow Cloak: +1 EV in Hail	Foresight: The team can change what move they're about to use if the foe is going to use a dangerous move.	Astral Shift: Separates body and spirit, only body can take damage, only spirit can inflict damage.	Stunningly quick glass cannon, seems to have great manipulation of timespace.	Can only reach full potential with wall teammates.	
Eevee Glaceon	Male			P57046130	31/03/1991																65	65	110	130	90	65	0	Ice	Grass	Bold	Icium Z: Turns an Ice move into Subzero Slammer	Celebrate (Normal) Yay! ~ Ice Beam (90/SA/Ice) 10% Freeze chance ~ Hail (Ice) Causes Hail for 5 turns ~ Icy Wind (55/SA/Ice) -1 SP to foe, hits all foes	None	Ice Body: +5% HP in Hail	Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	None	Um... really useful in cold dungeons.	Extremely vulnerable to tassle nibbling.	
Eevee Jolteon	Female	Remi	Toriumi	P65749259	02/08/1998	WOL, Mist Continent	Magnagate Tester	Hetero	Sub	Bottom	84	23	29	Polytone #d6c027	Jeannie Tirado/Michiyo Murase	Impetuous and silly	ESFJ	Kosuke, Kosuke, Kosuke	Other Umbreons, Espeons, Sylveons	Slightly more orange, white spots are black.	65	65	65	110	90	130	22	Electric	Fire	Rash	Kosuke Plush: A Kosuke Plush.	Yawn (Normal) Causes Sleep after 1 turn ~ Volt Switch (70/SA/Electric) Switches with teammate ~ Thunderbolt (90/SA/Electric) 10% Paralysis Chance ~ Hidden Power (???/60/SA)	None	Volt Absorb: Heals when hit by Electric moves	Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.	None	Can sleep, paralyze, damage, and switch out in just 2 turns.	Her frailness makes that strategy less effective.	Brother: Kosuke Toriumi
Eevee Jolteon	Male	Zeus	Kimi	P57416540	24/05/2003	WOL, Air Continent	Triathlete	Homo	Switch	Switch	79	25	25	Quicktype #f4c71e	Andrew Francis/Megumi Hayashibara	Alert to sounds	ISFJ	ZZZOOOOOMMMMM	Nothing	White spots are yellow, white eyes.	65	65	65	65	65	200	144	Electric	Psychic	Quirky	Magnet: Boosts Electric moves	Magnet Rise (Electric) Immune to Ground for 5 turns ~ Discharge (80/SA/Electric) 30% Paralysis chance ~ Shock Wave (60/SA/Electric) Never misses ~ Zap Cannon (120/SA/Electric) Causes Paralysis, might miss	None	Quick Feet: +1 SP when hit by status conditions	Forge a Path: Consumes Belly to break down walls.	None	Incredibly quick.	Pretty much everything else.	
Eevee Leafeon	Female			H51669987	06/02/2007	WOL, Grass Continent	Alchemist														60	115	140	60	60	100	0	Grass	Fire	Quiet	Shiny Leaf: Makes Humans friendly ~ Wailmer Pail: Waters berries ~ Philosopher Bag: Transmutates items	Leaf Blade (90/AT/Grass) +1 Crit chance ~ Synthesis (Grass) Heals depending on weather ~ Fling (?/AT/Dark) Damage and effect depends on held item ~ Grass Whistle (Grass) 55% Sleep chance	None	Chlorophyll: 2X SP when sunny	Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.	Equivalent Exchange: Items are no longer consumed after use, leaves user with 1 HP	Extensive knowledge on Human and Pokemon made items, good bulk.	Faster foes that are resistant to items will cripple her.	
Eevee Leafeon	Male			P12038964	20/07/1982																70	100	50	50	50	220	0	Grass	Dark	Hasty	Destiny Knot: Reflects Infatuation	Bullet Seed (25/AT/Grass) Hits 2 to 5 times ~ Pin Missile (25/AT/Bug) Hits 2 to 5 times ~ Rock Blast (25/AT/Rock) Hits 2 to 5 times ~ Tail Slap (25/AT/Normal) Hits 2 to 5 times	None	Leaf Guard: Immune to status conditions during sunny day	Rapid Bullseye: Moves that hit multiple times will never miss. 	None	Lightning quick, overwhelms with multi hit moves, great type coverage.	Bad at pretty much everything else.	
Eevee Sylveon	Female	Lyra	Chronos	P74872117	20/05/1986	WOL, Grass Continent	Chronos Vice-Leader	Hetero	Sub	Bottom	88	20	40	Rialto Ste'd #f731f0	Skyler Davenport/Hitomi Ueda	Strong willed	ENFP	Guilds, Exploration, Treasures	Outlaws, Fainting, Monster Houses	Blue spots are pink.	90	75	75	110	130	75	150	Fairy	Fighting	Gentle	United Scarf: Enhanced Coalition Scarf that boosts team attacks. ~ Aura Bow: Changes color based on holder's aura, +1 AT, SA, DF, SD. ~ Treasure Bag: Allows Teams to hold more than 3 items	Wish (Normal) 1 turn charge, fully heals any teammate. ~ Dazzling Gleam (80/SA/Fairy) Hits all foes ~ Helping Hand (Normal) +50% PW to teammate's move ~ Charm (Fairy) -2 AT to foe	Stellar Chill (Normal) Requires Stellar Bang on the same turn, +3 to all stats of Stellar Bang user.	Cute Charm: 30% Infatuation chance on contact	Army Of Two: If there's only one teammate, that teammate gets a big stat boost.	Grand Finale: Can use multiple Finishers. If a teammate uses a Finisher, it becomes a Team Attack.	Outstanding cleric, absolutely excels at teammate support with buffing and healing. Nearly invincible with Vega.	Crippled hard by Steel types and stage hazards.	Husband: Vega Chronos ~ Friends: Sirius Chronos, Betelgeuse Chronos
Eevee Sylveon	Male	Halcyon	Beri	P71382850	09/11/1995	WOL, Water Continent	Housekeeping / Artist	Homo	Sub	Bottom	91	22	28	Primer #e3be19	Sarah Williams/Yui Horie	Strongly defiant	INFP	Cleaning, Cooking, "Serving"	Intolerance, Bigots, Religions	White and blue spots are gold.	100	70	70	110	130	55	46	Fairy 	Fire	Sassy	Pink Tail: Boost Fairy moves ~ Eevium Z: Turns Last Resort into Extreme Evoboost 	Last Resort (140/AT/Normal) Fails unless all moves have been used ~ Baton Pass (Normal) Transfers stat changes to teammate ~ Facade (70/AT/Normal) 2X damage if user has a status condition ~ Psych Up (Normal) Copies foe's stat changes	None	Pixilate: Normal type becomes Fairy type	Notorious Healing: The rate at which HP restores naturally is sped up. 	None	Immediately buffs himself heavily to survive and then transfers his boosts to a teammate...	...because he's pathetically weak.	None
Eevee Umbreon	Female	Rachel	Teller	H81209830	22/08/1988	WOD, USA, California, San Francisco	Unknown	Bi	Dom	Bottom	99	27	32	Neuropol #0e7a0d 	Brooke Burke/Yumi Touma	Somewhat vain	ENTJ	Humans, Skylines, Music	Elitists, Lies, "Zoomers"	Rings and eyes are bright green.	90	65	110	65	130	65	102	Dark	Steel	Serious	Toxic Orb: Inflicts Badly Poisoned on holder	Foul Play (95/AT/Dark) Uses foe's AT instead of user's ~ Toxic (Poison) Badly Poisons foe ~ Wish (Normal) 1 turn charge, fully heals any teammate. ~ Bide (Normal) 2 turn charge, returns 2X damage taken	None	Inner Focus: Immune to flinch	XP Boost: Grants additional XP to the team when a foe is defeated.	None	Good at healing and debuffing at the same time.	Not the best offensively.	None
Eevee Umbreon	Male	Kosuke	Toriumi	P55876207	30/09/1995	WOL, Mist Continent	Magnagate Scientist	Bi	Dom	Top	111	29	30	Polymer #353535	Tom Bauer/Kosuke Toriumi	Strongly defiant	INTP	Magnagates, Terraforming, Mythology	Emeras, Looplets, Elitists	Red eyes with blue pupils, black fur instead of navy.	65	65	65	110	130	90	115	Dark	Poison	Bold	Entercards (19): Summon long-range dungeons from ley lines using 4 cards. ~ Darkinium Z: Turns a Dark move into Black Hole Eclipse	Foul Play (95/AT/Dark) Uses foe's AT instead of user's ~ Toxic (Poison) Badly Poisons foe ~ Assurance (60/AT/Dark) 2X power if foe has been hurt in the same turn ~ New Moon (Normal) Heals 0% HP at midday, 100% HP at midnight	Yamidakunai (150/AT/Dark) +3 Priority	Magic Sync: Reflects status conditions	Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.	None	Leaves foes intoxicated and hurt for the team to finish, and moves to the next.	Without team and items, helpless.	Wife: Ai Nonaka ~ Sister: Remi Toriumi
Eevee Vaporeon	Female	Capella	Chronos	P80713401	18/11/1974		Chronos Officer														150	60	60	110	95	60	0	Water	Electric	Quiet	Shell Bell: All damage drains 10% HP ~ Gear Charm: Locates Time Gears and Space Gears. ~ Relic Fragment: Grants access to the Temporal Tower	Scald (80/SA/Water) 30% Burn chance ~ Wish (Normal) 1 turn charge, fully heals any teammate. ~ Obstruction (Parry/Dark) -1 DF to foe if hit ~ Brine (65/SA/Water) 2X damage if foe has less than 50% HP	None	Hydration: Immune to status conditions during rain	Enlightened: Teammates can use Enlightenments immediately.	Dimensional Shockwave: Provides detailed analysis of past or future turns.	Exceptional protector and explorer, can create infallible strategies with her time reading abilities and great movepool.	Still young and unexperienced, can be taunted and sweeped.	
Eevee Vaporeon	Male			P70267200	31/05/1978																130	65	65	110	95	65	0	Water	Flying	Modest	Zoom Lens: +2 Crit Chance if holder moves last	Scald (80/SA/Water) 30% Burn chance ~ Hydro Pump (110/SA/Water) ~ Muddy Water (90/SA/Water) 30% chance -1 AC to foe ~ Whirlpool (35/SA/Water) Traps foes for 4-5 turns	None	Water Absorb: 25% HP heal when hit by water type	Narrow Focus: Moves used in corridors will never miss. 	None	Excellent sniper, hits where it hurts and flees immediately after.	Physical sweepers are still a problem.	
Ekans Arbok	Male		Zero	P97774062	12/04/1983																60	100	70	70	80	80	0	Poison	Ground	Mild	Grip Claw: Trap moves last longer ~ Poison Barb: Boosts Poison moves	Glare (Normal) Causes Paralysis ~ Wrap (15/AT/Normal) Traps and damages for 4-5 turns ~ Coil (Poison) +1 AT, DF, AC ~ Poison Fang (50/AT/Poison) 50% Badly Poisoned Chance	None	Unnerve: Foes can't use items	PP Siphon: Drains PP from an enemy.	None	Traps and poisons, takes advantage of inexperience.	Easily blown away by bigger teams.	
Emolga	Female			H13306547	15/11/1993																50	75	50	75	50	133	0	Electric Flying	Dark	Rash	Magnet: Boosts Electric moves	Volt Switch (70/SA/Electric) Switches with teammate ~ Thunderbolt (90/SA/Electric) 10% Paralysis chance ~ Knock Off (65/AT/Dark) +50% Damage if foe holds item, removes item ~ Taunt (Dark) Foe can't use non-damaging moves for 3 turns	None	Motor Drive: +1 SP when hit by Electric type, nullifies damage	Wary Walk: The whole Team is immune to traps.	None	Quick and cunning, great utility pivot.	Frail, other stats are lackluster.	
Emolga	Male			P72336600	11/06/1972																55	75	60	75	65	100	0	Electric Flying	Grass	Relaxed	Carubyncle: Red gem slotted in his belly, grants eternal youth.	Volt Switch (70/SA/Electric) Switches with teammate ~ Discharge (80/SA/Electric) 30% Paralysis Chance, hits all foes ~ Roost (Flying) Heals 50% HP, removes Flying type ~ Encore (Normal) Foe has to use same move for 3 turns	Rockstar (Electric Fire) +3 to all stats if a sound move is used the same turn.	Static: 30% Paralysis chance if hit by physical move	XP Boost: Grants additional XP to the team when a foe is defeated.	None	Bulkier than he looks, jack of all trades.	Master of none, low sweep potential.	
Fennekin Braixen Delphox	Male			P41145933	13/06/1996																80	69	75	110	100	100	0	Fire Psychic	Ghost	Calm	Firium Z: Turns a Fire move into Inferno Overdrive	Calm Mind (Psychic) +1 SA and SD ~ Blast Burn (150/SA/Fire) 1 turn recharge ~ Fire Blast (110/SA/Fire) 10% Burn Chance, might miss ~ Mystical Fire (75/SA/Fire) -1 SA to foe	None	Blaze: Boosts Fire moves in a pinch	Blast Control: Damage the team takes from explosions is reduced. 	None	Master of pyromancy, can combust foes even in the most dire situations.	Checked by trappers, revenge killers, and bulky water types.	
Fennekin Braixen Delphox	Female	Cupric		P78212224	15/09/2009										Ryan Bartley/Wakana Minami						75	69	70	120	100	110	0	Fire Steel	Ice	Timid	Fashion Case: Stores Accessories	Blue Flare (130/SA/Fire) 20% Burn Chance, might miss ~ Future Sight (120/SA/Psychic) Hits after 2 turns ~ Flash Cannon (80/SA/Steel) 10% -1 SD chance ~ Autotomize (Steel) +2 SP, user gains Levitate	None	Magician: Steals items from foes hit by a special attack	Sales Pitch: The team can sell items at higher price.	Oxidize: Steel type moves cause burn.	Alchemist with Delta typing, pulls out unexpected tricks and can bait opponents easily.	Inexperienced, requires a good team, can be forgetful.	
Fletchling Fletchinder Talonflame	Female			P49844071	29/08/1979																78	81	71	78	81	120	0	Fire Flying	Normal	Jolly	Carubyncle: Red gem slotted in her beak, grants eternal youth. 	Swords Dance (Normal) +2 AT ~ Brave Bird (120/AT/Flying) 33% Recoil ~ Flame Charge (50/AT/Fire) +1 SP ~ Roost (Flying) Heals 50% HP, removes Flying type	None	Gale Wings: +1 Priority if HP is full	Bargain: Items can be bought at a lower price from shops.	None	As long as she's full HP, she's an impressive sweeper.	Crippled hard by Stealth Rock and setups.	
Fomantis Lurantis	Female			H16172888	28/11/1999																70	105	90	80	90	45	0	Bug	Water	Lonely	Green Tea: Acts as sunlight for one Pokemon. ~ Silver Powder: Boosts Bug moves	Solar Blade (125/AT/Grass) 1 turn charge, no charge in sunlight ~ X-Scissor (80/AT/Bug) ~ Bug Bite (60/AT/Bug) Eats and steals foe's berry ~ Leech Life (80/AT/Bug) Heals 50% Damage	None	Leaf Guard: Immune to status conditions in sunlight	Forge a Path: Consumes Belly to break down walls.	None	One sip of green tea turns her into a terrifying striker with unfair abilities and a particularly annoying Delta typing.	Poison, not that bulky.	
Froakie Frogadier Greninja	Female			P13292077	22/10/2006																94	96	69	101	71	104	0	Water Dark	Psychic	Modest	Pierce Band: Thrown items go through walls and Pokemon	Toxic (Poison) Badly Poisons foe ~ Shadow Sneak (40/AT/Poison) +1 Priority ~ Low Kick (AT/Fighting) Uses foe's weight for damage calculation ~ Aerial Ace (60/AT/Flying) Never misses	None	Protean: Changes type to move user is about to use	Brawl: Teammates get a bit stronger when there are many foes.	None	Tricky, her moves and ability allow her to adapt to many situations.	Doesn't excel at anything, can be dealt with quickly if read correctly.	
Froakie Frogadier Greninja	Male			P25289480	21/11/1981																74	101	71	96	69	124	0	Water Dark	Dragon	Gentle	Dodge Scarf: Dodges thrown items	Mat Block (Normal) Protects whole team, fails if it's not turn 1 ~ Water Shuriken (15/SA/Water) +1 Priority, hits 2-5 times ~ Fog Bomb (Dark) +3 AC and EV for 1 turn ~ Night Slash (70/AT/Dark) +1 Crit Chance	None	Torrent: Boosts Water moves in a pinch	Wary Walk: The whole Team is immune to traps.	None	He's a goddamn ninja.	Faster opponents... there aren't many though.	
Furfrou	Male			P33542125	19/04/1989																75	80	90	65	60	102	0	Fairy 	Ice	Bold	Travel Trunk: Holds Outfits	Return (AT/Normal) Uses Love for damage calculation ~ Charm (Fairy) -2 AT to foe ~ Dazzling Gleam (80/SA/Fairy) Hits all foes ~ Sweet Kiss (Fairy) Causes Confusion	None	Fur Coat: +2 DF	Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	None	Delta type sentinel, can take a heavy hit and debuff dangerous foes.	Fast special sweepers will take care of him immediately.	
Gastly Haunter Gengar	Male			H89989104	01/09/1974																60	60	60	140	75	110	0	Ghost Poison	Steel	Calm	Ghostium Z: Turns a Ghost move into Never Ending Nightmare ~ Spell Tag: Boosts Ghost moves ~ Gengarite: Triggers Megaevolution	Night Shade (SA/Ghost) Power is determined by user level ~ Sludge Wave (95/SA/Poison) 10% Poison chance, hits all foes ~ Hex (65/SA/Ghost) 2X damage to foes with a status condition ~ Shadow Ball (80/SA/Ghost) 20% chance -1 SD to foe	None	Cursed Body: 30% Chance of disabling foe's move when hit.	Evasive Rhythm: The team can dodge multi hit attacks much easier.	Megaevolution: Form Change Enlightenment	Dreadful revenge striker that eliminates foes that are already hurt.	Weak to priority moves, pursuit, and trapping.	
Genesect	Male	Sid	Tensei	H37534090	08/02/1953	WOD, USA, Texas, Houston	Ex-Metsu Leader	Hetero	Dom	Top	228	156	???	Xanadu #5e3b71	Andrew Russel/Kouji Ishii	Thoroughly cunning	INFJ	Money, Technology, War	Pacifism, Pokemon, Heroes	Black and red instead of purple and white.	70	120	100	120	100	120	202	Bug Fighting Steel	Poison	Impish	Mugen Turbocharger: A gene splicer that exponentially increases a Mugen Gene's power. ~ Network Drive: Can turn into any Drive in exchange of 1 level.	Techno Blast (120/SA/Normal) Type changes from held Drive ~ Iron Head (80/AT/Steel) 30% Flinch chance ~ Drain Punch (75/AT/Fighting) Drains 50% HP ~ Explosion (250/AT/Normal) User faints	Orbital Cannon (200/SA/Steel) Flies up 1 turn, never misses	Download: +1 AT or SA based on foe's stats	Riled Up: Boosts AT and SA once when hit by an enemy.	Hydrogen Gene: Can be activated any time, 2X EV	Mugen Gene master, harnesses the power of Humanity to strike down the most powerful Pokemon around with ease.	Insane and other debuffs can check him when he's alone, and he often is.	Rival: Codd Branford
Gible Gabite Garchomp	Male	Hankari	Park	P33695810	31/07/2000	WOD, South Korea, Ulsan, Bongtaesan	Retired Nuricom League Champion	Hetero	Dom	Top	202	107	73	Duvall #44359c	Kirk Thornton/Ken Uo	Proud of its power	ISTJ	Fighting, Trainers, Ribbons	Draco Meteors, Metas, Tanking	Yellow spots are red.	110	150	95	80	85	150	180	Dragon Ground	Ground	Jolly	Garchompite: Grants Megaevolution ~ Groundium Z: Turns a Ground move into Tectonic Rage ~ Champion Crown: +1 to all stats when near a human.	Earthquake (100/AT/Ground) hits all foes, 2X damage on digging foes ~ Dragon Claw (80/AT/Dragon) ~ Rock Slide (75/AT/Rock) 30% Flinch chance ~ Protect (Parry/Normal) Blocks all moves	Bogsuu (300/AT/Dragon) Fails if teammates haven't been hit before this move	Rough Skin: Hurts on contact	Steamroll: Ignores types and abilities lowering a move's damage.	Megaevolution: Form Change Enlightenment	Monstrous revenge sweeper, hurting his teammates is often a horrible idea.	Ice types can do insane damage to him... Unless Jeongi is nearby.	Girlfriend: Jeongi Park ~ Trainer: Sejun Park
Giratina	Male	Samael	Amphithere	P35779100	??/??/????	WOL, Mystery Continent	Dimension Guard Leader	Hetero	Dom	Top	703	694	139	Corben #cb1c1b	Bob Carter/Junichi Suwabe	Often scatters things	ENTP	Team Chronos, Distortion World, Sneks	Unknown	Gray spots are black.	200	95	115	95	115	90	197	Ghost Dragon	Dark	Serious	Griseous Orb: Boosts Dragon and Ghost type moves if held by a Giratina, grants Origin Form. ~ Black Sludge: Restores HP to Ghost types, damages others ~ Red Chain: Grants Immunity to Judgement	Shadow Force (120/AT/Ghost) 1 turn invisibility, breaks Protect ~ Hex (65/SA/Ghost) 2X damage if user has a status condition ~ Defog (Flying) Removes weather and field hazards ~ Dragon Pulse (85/SA/Dragon)	Eternal Obscurity (200/SA/Ghost) Causes Insane	Telepathy: Immune to friendly fire	Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.	Origin Form: Form Change Enlightenment	The ability to switch from Wall to Wallbreaker in seconds makes him a force to be reckoned with.	Unless your team has a Fairy.	Friends: Shinju Izanagi, Kongouseki Izanami
Goomy Sliggoo Goodra	Female			P27363654	14/10/1983																80	90	70	100	200	60	0	Poison	Fairy	Bold	Bounce Band: Bounces thrown items back to foe	Endure (Normal) Survives all moves with 1HP for 1 turn ~ Protect (Parry/Normal) Blocks all moves ~ Acid Armor (Poison) +2 DF ~ Sludge Wave (95/SA/Poison) 10% Poison chance, hits all foes	None	Gooey: -1 SP to foe on contact	Notorious Healing: The rate at which HP restores naturally is sped up. 	None	Delta tank, any physical moves are futile against her.	Not many options when her teammates are getting focused on.	
Goomy Sliggoo Goodra	Male			P27590845	15/05/1993																90	110	70	120	130	80	0	Dragon	Ground	Brave	Fickle Ribbon: +2 Crit, but holder cannot use same move twice	Draco Meteor (130/SA/Dragon) -2 SA ~ Earthquake (100/AT/Ground) Hits all foes, 2x damage on digging foes ~ Dragon Pulse (85/SA/Dragon) ~ Muddy Water (90/SA/Water) 30% chance -1 AC to foe	None	Hydration: Immune to status conditions during rain	XP Boost: Grants additional XP to the team when a foe is defeated.	None	Special revenge tank, can check many types of offensive threats.	Requires a healing teammate to function well, crippled by other Dragons.	
Groudon	Male	Behemoth	Mikado	P99770697	??/??/????	WOL, Mystery Continent	Weather Guard Leader	Hetero	Switch	Top	354	996	75	Souvenir #f65439	Phillip Reich/Yoshikazu Nagano	Likes to trash about	ESTP	Unknown	Unknown	White parts are yellow.	100	150	140	100	90	90	182	Ground	Rock	Docile	Red Orb: Grants Primal Reversion ~ Terra Cymbal: +1 AT and SP when held by Groudon	Precipice Blades (125/AT/Ground) ~ Rock Tomb (60/AT/Rock) -1 SP to foe ~ Lava Plume (80/SA/Fire) 30% Burn chance ~ Eruption (150/SA/Fire) Lower HP decreases power	Volcanic Storm (400/AT/Fire Ground Rock) 1 turn charge, three types at once	Drought: Triggers Sunny Day	Small Stomach: Anyone in the team can fill up their belly with any food.	Primal Reversion: Form Change Enlightenment	A Primal Groudon using Volcanic Storm is probably the last thing you will see.	Rayquaza and other Flying type sweepers.	"Bruh": Leviathan Mikado ~ Rival: Ziz Mikado
Heatmor	Male			H80823390	18/04/1981																85	100	66	105	66	66	0	Fire	Bug	Impish	Flame Siphon: Fire Lash does 2X damage	Fire Lash (80/AT/Fire) -1 DF to foe ~ Fire Spin (35/SA/Fire) Traps and damages for 4-5 turns ~ Inferno (100/SA/Fire) Causes burn, might miss ~ Sunny Day (Fire) Intensifies the sun for 5 turns	None	White Smoke: Prevents foes from lowering user's stats	Blast Control: Damage the team takes from explosions is reduced. 	None	A boosted Fire Lash from him will leave you a sting that lasts for months.	Walled entirely by water types, not many options.	
Helioptile Heliolisk	Male			P20869029	18/10/1991																60	50	50	100	130	100	0	Electric Normal	Steel	Modest	Flashbox: Takes Pictures ~ Album: Stores Pictures	Electrify (Electric) Changes target's type to Electric ~ Hyper Voice (90/SA/Normal) Hits all foes ~ Eerie Impulse (Electric) -2 SA to foe ~ Parabolic Charge (65/SA/Electric) Heals 50% damage	None	Solar Power: 2X power to Electric moves during sunny day	Talent Boost: Teammates's Rare Qualities are boosted.	None	Um... he is a talented photographer.	Faster foes, priority moves, field hazards, tanks, status conditions.....	
Ho-Oh	Female	Fenhuang	Estrus	P13225966	??/??/????	WOL, Mystery Continent	Sky Guard Leader	Bi	Sub	Bottom	320	144	115	Kyma #f69b16	Cindy Robinson/Miyuki Sawashiro	Somewhat vain	ESFJ	Lugias, Meganiums, Sex	Shadows, Cipher, Ho-Ohs	Orange feathers and beak, cyan accents, black talons	110	130	95	110	155	90	187	Fire Flying	Poison	Hasty	Gold Erhu: Triggers War Haze when played. ~ Sacred Ash (23): Can only be used by Ho-Oh and Lugia, fully Revives Pokemon ~ Clear Bell: +50% HP if held by Ho-Oh	Sacred Fire (100/AT/Fire) 50% Burn chance ~ Recover (Normal) Heals 50% HP ~ Defog (Flying) Removes weather and field hazards ~ Brave Bird (130/AT/Flying) 33% Recoil	Phoenix Shine (Fire) Requires War Haze, fully revives user if fainted	Regenerator: Heals 33% HP when switching out	Notorious Restoration: Items restore more HP and Belly.	War Haze: +1 AT or SA every turn	Don't expect to be able to leave her wounded while focusing on something else, she recovers in seconds.	Can't handle too much pressure.	Brother: Ryuujin Estrus
